days,content
210,"Its too good phone at this price range...
Camera: outstanding  back camera is 10 on 10 but front camera is 5 on 10.
But screen is not working properly, may be it will be fixed after updates.."
270,"My new Moto Edge 60 Fusion, replacing my Samsung Galaxy M52, has truly justified its cost. I'm particularly impressed with its excellent camera, long-lasting battery, and remarkably lightweight build."
330,Here is the conclusion: camera is best in the segment. Display undoubtedly a flagship level upgrade . Battery and charging top notch . The performance is quit good it can easily run your day day task ...
330,"Excellent phone in the price range.
Display and OS is impressive in this price range.
Compare to realme p3 pro this OS and camera is far better. 
For daily use no lag, I am not a gamer. Very smooth ex..."
240,I like this phone
330,Nice phone nice picture
210,"Motorola edge 60 Fusion 5G was a awesome smartphone 
🥰 This phone 📱 camera was really good 👍😊 
Phone 📱 performance is amazing bettary so nice 👍 
Thank you Motorola edge 60 Fusion 
I like this phone 🤳"
210,"Battery back up is excellent upto 2.5 days.
Camera display and performance are also excellent."
180,Best mobile
240,Best camera phone
300,Satisfied
330,Nice phone
330,"The product is good. Received it today.
Will update my review again after using it for a few days."
270,This is the best camera phone...
300,Very Nice phone 📱
330,"this phone has everything that is needed a good camera,good battery backup , very good performance just only the thing that is bad is that they are not providing a back cover and a screen guard as it ..."
330,"You can go for it.
It is value for money  phone and camera is very good."
330,Very nice phone camera battery is also very good and performance is very good very slim and light in weight.
270,"Camera 📸 quality is very exillent 
Better backup good
Super display 4k
Sound is very super"
330,"Very good camera performance, good battery life and best for normal daily tasks."
330,Hanging issue
270,"Excellent choice if you are a non gamer!
Look : top notch
Display : excellent display protected by Corning gorilla glass.outdoor brightness also very good.some people don't like curved displays though..."
330,beautiful and slim design... display superb... pure android 🤖... smooth optamization...
330,"Great phone at a superb price. Feels very good in hand.
Mind blowing screen.
Battery survives for more than 24 hrs even if u use it continously.
Great audio (call) quality. Good headphone quality as w..."
300,When i charge my phone it is heated very much. Otherwise all is ok in this phone.
330,Very good Product in this Price
330,Superb one🥰 love this phone
150,Best in this price range
330,"Such a well balanced, less weight,  easy to carry , and gorgeous display along with dolby , along with curvy beauty phone..  it touches every aspect in phone scenario,, what else we could expect more ..."
330,Amazing phone at this range. Display is too good 👍 and mobile is so thin as compare to others. It feels amazing 😍 . Overall I m satisfied with this.
240,Just like wow 😲😲😲😲
330,Best phone for daily life task.👍
300,"Motorola edge 60 fusion is one of the best phone under 25k No doubt. Here is
Pros :- 
Great Camera Quality 
Vibrant and Immersive Display 
 Speaker is loud and clear
Design is outstanding with vegan l..."
330,Brilliant
180,Great product
330,"Pros :

1.Excellent curvy display 
2.Premium looks and pretty vegan leather design 
3.Awesome camera with top quality in daylight 
4.Smooth experience with good refresh rate 
5.Best Water resistance u..."
180,The camera needs to be improved
180,"Camera great(in price range), Battery is enough and charging speed is also great, Display and colours are 10 out of 5,  but........panel gap in back side is visible, and ....
performance:- jitternes e..."
330,"Satisfied expectations, camera is better, battery average overall performance is good"
330,Good performance
330,"It's a really good smartphone under 20K. 
Pros- 
Best camera experience 
Best display experience 
Best Battery back up
Very thin and light weight 
Fast charging outstanding 
Moto AI helps in very aspe..."
210,"The phone is good for this amount, camera quality is awesome 💯 display also is the best overall good but only one issue phone little hitting"
210,"I am using this for the past 1 month. There is a slight late in the processor as it is mediatek but in overall I am happy with the product. Camera,Design,Photos and the sound with the dolby atmos in i..."
210,Very nice
270,Very good 👍 👍👍👍
270,The camera is just awesome... Display great ... Battery performance up to the mark
300,"Photo is hm supar 
Display quality super 
Battery  is not performance 
Process is good process"
300,nice photo motorola
300,Very nice performance camera and display photos click 😀
330,Good camera and proforma
330,Very good
330,"Over all nice 
🥰"
300,Good phone with decent performance. Undoubtedly the best looking phone in this price range. Overall satisfied.
330,Must buy phone at this range
300,"The phone really feels premium in terms of build quality. 
Phone is super slim despite having such a good battery size.
Dolby Atmos also works well.
Experienced little heating issue while charging.
Di..."
330,Best mid range phone with premium looks
270,"Camara is stunning 
Bettry is also very good It lasts for a day,
Performance is a issue not expected at this price 
Display is looking"
330,"Superb i love it 
Battery 
Performance 
camera 
Display 
Design overall 5star love it
❤️❤️❤️❤️"
300,"This smartphone gives a flagship level feelings, camera is awesome in this price .If you're not heavy gamer then go for it without hesitation."
210,"No doubt moto phones are value for money. But the same design for the last 4 years is quite disappointing. 

Biggest drawback , all moto phones look the same, no matter if it's fusion or ultra .

Noth..."
300,"The product is really good and nice 
Good camera quality and the process of the picture is very nice 
The performance is also nice no lag 
Display is very nice"
300,Super mobile... Camera was assumed and with Sony and the dimensity 7400 was rocked !!!!
300,Camra quality is very good 👍
330,"I think the best phone you can get below 23000 the camera is the best thing about this phone, also look is the premium quality one."
330,1st Impression Awesome Phon
330,Best in business
180,Very good 👍👍
330,It's a lightweight Phone with matte finishing look.Good Camera Clarity.Definitely Go for it for a Beautiful and comfort experience.
330,Writing this review after 1 month...It's the best android phone in this price segment... Everything is top notch...The camera is great for this price... Best phone for everyday activities with the bes...
180,"The camera quality is too good to be true!!!
The performance is really good! This is the only phone that I can call a complete all rounder!!! No thoughts just go for it if you want to purchase it!! Th..."
210,Night vision clicks are absolutely great compared to day time.
270,Camera was so good
270,"This is the best mobile in this price range. It offers a balanced experience for moderate users and is a complete package with a good camera, strong battery life, impressive display, and stylish design."
330,Awesome yrrr... camera just outstanding 🔥....Go for it..
330,Motorola is best phone 👌
330,Camera was very beautiful but very thin mobail am very scary about to using this phone
60,"I have used this for 6 months now and I am happy with my decision to buy this.

However, there a few drawbacks, main one being the curved display, since it is curved it is more fragile, and it is plas..."
150,One of the excellent device but I also miss the NFC and eSIM features on this device.
180,"Good one but menu is not seems to user friendly. Missing it's own file manager. Smooth curve glass, battery is good, 8 hours continuous play. Camera output is strange and little non realistic. It give..."
180,Overall good
180,Best 📲 mobile
180,Value for money
210,"Mobile is very good but some apps like Gallery, File Manager, and others more apps are not available in this phone .....this is the only flaw.....i request the company plz bring these things like othe..."
210,Overall very good at this price range with exchange offer
240,Low Battery back-up and overheating both issue in purchage of first day
270,Best in this price range
270,"Battery improved, long tall mobile but in hand feels okay.
The display is super smooth and brighter , classy and premium. The battery does not drain at all. Super fast charging but my other charger go..."
330,All thing is good but camera performance is not too good during night
330,"Pros:
Good display 
Clean software 
Good design 
Base variant starting from 8-256 which is best in the price range 

Cons: 
No back cover 
No screen protector"
330,"Hello Guys, 
I'm writing this review after 2days of my purchase of new moto edge 60 fusion phone.

The phone looks beautiful in hand more then in pictures. The purple/violet colour is actually darker ..."
300,"Display - Excellent 
Performance - Butter smooth 
Camera - Excellent 
Sound - Dolby Atmos is good but not loud
Design - Not good, Back camera occupied 30% of space, back camera setup is not as good as..."
330,"Camera quality -4.5/5
Battery -4/5
Display quality -5/5
Performance -4.5/5
Design -5/5
Really amazing and worth for this price range."
60,I write this review after use it 5 to 6 months best quality camera and battery you can blindly buy it worth of your money nothing problem I can face this duration awesome phone thank you Motorola as w...
120,All Performance is good 💯😊
150,Awesome 😎👍
150,Superb mobile 👌👌😍 1 No
180,Best product 😘
180,Excellent
180,Value for money devic
180,Best features are available
180,"Phone is mind blowing but there is less some apps in the phone, and one of the best phone in this price range"
180,"It's Outstanding performance and very attractive design to use thank you 🙏 moto,and great to use our Indian product"
180,"Value for money 💰
Camera Good 
Overall mobile performance good"
210,The camera quality is superb... performance i
210,"The reviews for this phone speak for themselves...

This phone has exceptional value in the 20k- 25k range, delivering well-balanced performance:

1. Excellent camera quality
2. Reliable and smooth pe..."
210,Excellent picture with decent performance and good battery backup
210,"Nice Phone recently i switched from iphone 
It's worth purchase"
210,Nice quality
240,Good product you can go for it
240,Great features witu great camera and awesome potrait
270,One of the best camera and best handset wonderful 👍
270,Camera Good quality
270,Love it. I order for my mom bday gift
270,Verry nice
300,Awesome
300,It's nice.... But it has some ui bugs and it could be better if they pre installed screen protector film and provide back case
300,"After 2 days using Motorola 60fusion ,All is fantastic in this mobile, camera quality,sound quality,touch of mobile,and design of mobile....overall performance is nice,dnt listen to negative review......"
300,Awesome 👍
300,Its design is amazing
300,Best phone in this price segment . Feels like premium phone in such a low price . 😃
300,"Motorola phones are very cheap and feature-rich compared to other brands and their camera, display, design are excellent⭐️⭐️⭐️⭐️⭐️"
300,OSM
300,"Good phone in price range or camera quality, also good"
300,"Camera 10/10
Display 10/10
Battery 9.5/10
Overall Performance awesome 😎👍👍👍"
300,"The Motorola Edge 60 Fusion featuring a vegan leather back that feels premium to the touch, a square camera module, and a glossy Motorola logo at the centre. The edges are slightly curved, as is the d..."
330,"For me everything in this is more than worth, just concerned about the back leather finish it can easily get dirty"
330,Great phone at a affordable price.... Processor could have been better....camera is great... display is outstanding....
330,"The main highlight of this phone is the display, Camera,UI and the felling of stock android 
Overall the phone is targetted to a normal person * NOT TARGETED TO GAMERS *
I AM HAPPY WITH THIS PHONE🥰"
330,"Just awesome 
But cover and screen guard not included and not available in online and offline market
Phone is great light weight design is super speaker is clear and loud"
330,Awesome phone.
240,"Mobile is not good, hanging and software issues, screen flickering, 
Slow performance"
330,Good product still need more updates to stable the mobile. In box no screen guard or back cover provided. Overall mobile quality is premium.
300,"Used Edge 50 Fusion until now, have been always a fan of Moto. This phone is definitely an upgrade of Edge 50 Fusion. Those who are wondering about performance it's quite awesome if you don't play gam..."
330,"+ Display + Dual Speakers + Battery
- Performance - Camera - Glitches"
210,"Mediatek processor super patchy (phone h) like Indian highways 
Slow camera like modiji's vikas...
Call drops like Indian politicians' standards nowadays"
300,"Very good mobile in this range Display is amazing,camera is very good, Battery is fine 1.5 day use.Overall a good balanced package in this price range.
Few issues which I faced were the in display fin..."
300,"All things good except heating issue while charging and also while using the phone with internet on continuously. If you turn on charge boost, then the phone will heat like anything while charging. In..."
300,"Everything is perfect...
But there should be UFS 3.1 storage type..
Because I feel sometimes UFS 2.0
And it's laggy
But other than that everything is chummeshwari"
300,"Top notch phone but I found some issues with the battery.
The battery was a little faster but overall this phone is an absolute bang!! Highly recommended !!
If you're thinking of a phone which has dec..."
330,"I noticed the battery drying fast.
Camera clarity is very good.
Display colours are also good."
330,I just love the colour and design quality of this phone go for it
210,Awesome product of Moto...go for it without any doubt
210,"Nice phone captures good photos , performance is good for daily usage, moderate gaming and looks and design is unbeatable."
240,All good
270,I very very very very very love it.
300,Very good product nice performance of this mobile u can buy this mobile any hesitation
300,"I was using Moto Edge 50 Fusion from last year.
A lot of improvements are clearly visible 
Camera quality, Ai features 
Body ,colour
And also it's more handy now"
300,Superb camera. Nice battery backup. Worth for the money.!
330,"Overall the phone is good
I genuinely love it"
330,"PROS 
CAMERA 
NIGHT LIGHT PHOTO LITTLE SATISFIED BUT DAY LIGHT GOOD
PERFORMANCE 
PLAYED GTA AND ASPHALT NO LAG NO HEAT USE PLAYED PUBG G TOOO.
BATTERY 
DRAIN SO SLOW 30 MIN 70%-80% 
BEST PHONE UNDER T..."
330,SIMPLY AWESOME !!!BEST PHONE AT THIS BUDGET RANGE🎉
300,"Design is Awesome🌟
Display is great👍 
Performance is Pakka 200%
Overall Loved 😍 
Camera and Battery review will post after a week."
330,"Very good mobile by moto...
Good camera...
Very good display...
Great looks and design...
Battery capacity can be better..."
270,Recommended
210,"Everything is good 👍🏻 but battery draining is fast,I m not using the any gaming app,I hope this issues was fix in the coming up update, otherwise phone is too good, display is wonderful,camera is go..."
330,"Overall phone is good only the battery is drying very fast , battery is not so good even after 5500 mh battery i hope motorola will fix this problem with an update soon"
330,"For 10 days I've been using this phone after that I'm writing this review 

Display-good
Primary Camera photos- good
Primary camera video - average ( because while you zoom out or zoom in the video ar..."
330,"Moto edge 60 Fusion Mobile is Good for This Price But Screen guard and back Case Not Provided in the Box because PANTONE Amazonite Colour is very Fast attract dust fingerprints easily 

Pros 
------
1..."
330,I am the first person who brought this phone this phone is very good ☺️ for this range also play free fire 🔥
330,Thankyou Flipkart
180,"Average product overall.
Performance remains decent so far with its Dimensity 7300 processor
Camera performs quite good as well
Pretty light weight too!
However, lack of basic applications like a gall..."
150,Camera quality is very poor... I didn't expected this from Motorola.
180,If you are buying this for camera then donot buy. I am having moto edge 50 fusion which is good for camera and overall performance. I thought moto edge 60 will be even better. But I found that moto ed...
330,"Camera quality - 10/10🔥
Performance - 10/10🤩
Sound quality - 10/10😳😍
Battery - 10/8❤️
Smooth use❤️❤️❤️
I am very happy, Thank you Filpkart😍❤️"
270,Do not buy this from Flipkart. They deliver me defective device today. My mobile device auto shut down and camera not working. And flipkart is not accepting return of Product after 2 hrs of delivery. ...
180,"I am using the last one month
Battery backup is good 
Excellent display quality 
Camera is above average only
No heating issue"
210,I have been using it for a month and have not faced any problem till now. Overall this phone is good.
330,"Every thing is good in this price range. 
Display 10/10
Camera 9/10
Performance 8/10
Overall good phone but company need to provide screen protector and mobile cover."
330,Overall good phone👍 but as compare to my infinix note 12 pro 5g network speed and performance is not good.
330,Every thing is awesome...
7,"Quality is good I would say camera is ok-ok not that great as told by many youtubers, performance is where it lacks the most also I was aware as they Moto phones usually don't perform good as they hav..."
30,Camera is good only in this mobile...if you share that pic to any device that pic not in good quality
30,Nicee
60,Average phone
60,"Good one product,butWhen I delete any file, the delete option appears as a notification for a long time, and that's what's annoying."
60,Overall it's a very good product under 25k and budget friendly with plenty of specifications but something that gives negative marking is the battery drainage and I should recommend to motorola team a...
60,Nice mobile.
90,Good
90,"Best Under 20k .....
Camera best..
Battery 🔋 Optimisation good....
Nice all round phone...... 👍"
90,"This product is good for its price, but I think it could have been a little better. I've been using it for a month now, but everything else is fine, but it does hang occasionally. Other than that, I h..."
120,It's just a 2 days old phone and I can clearly see lag in performance while performing any task. Other than the lagging issue the phone is ok.
150,Decent phone in the price range
150,"Good but battery not good
Camera  exited"
150,This product will be very useful and that will be comfortable for this bud
150,"Its design is very good and it is very slim, its camera is also the best but the battery is not that good."
150,Good product  camera and photo pic's and camera is good
150,"Phone is awesome but software need more optimised, sometime third party application not working properly, even sometimes what's app doesn't work 😳"
150,Lovely
150,Everything is good about this phone expect my experience with the camera Quality is not up to the mark .......as before buying it I have lot of hope with the camera quality as one of my friends bought...
150,"Axcept camera, overall good, some lagg on opening camera"
150,Good cam
150,Most beautiful slim phone
150,Overall the product is good but heating while charging
150,Very nice product
180,For This Price . Overall Nice 👍
180,Very good 👍
180,"Phone design and display and camera are very nice and decent battery backup and doing multiple operations at a time little bit hanging.
Overall good 👍"
180,Good
180,Perfect combination of performance
210,Otg note working
210,"Camera is good specially in light, battery normal, and display is top notch, overall good phone"
210,Best phone under 20k budget you can buy it.
210,Camera quality too good 😊💫
210,Nice fone
210,Update Policy Could be better late update and Camera needs improvement Faces many glitch
210,"Review after 1 month use:-

1. Camera quality is okay 
2.Battery life is Excellent: (Drain little bit faster when hotspot is On)
3. Display: Excellent 
4.Design: Excellent (back vegan leather design l..."
210,Very nice product
210,"Operating software and layout is bit wierd while using..
Otherwise a fantastic phone with good camera and long battery with solid performance."
210,Good
240,Camera performance as I accepted
240,Good phone by motorola and motorola disappoint was a update service
240,Overall good mobile in this price
270,Good quality phone
270,"pros -
excellent display 
very good battery life
clean UI
no bloatwares
decent camera
good looks
water resistance 

cons -
low light camera performance poor
few bugs in UI
call recording announcement ..."
270,"Ok...ish
The curve edges sometimes doesn't register the touches.
Buy only if u have bank offers..."
270,"I bought moto edge fusion 60.best in budget mobile, sleek design,smooth performance and better camera"
270,Good Device. Moto Have to Improve Fit and Finish. Other than that a good phone. Back Camera Good. Need To Improve Front Camera.
270,Nice phone
270,At this price it's absolutely powerful and good
270,Nice performance
270,"Writing this review just after 24 hrs of usage.
Camera, picture, video experience is awesome, and the battery back up is good.
Cons observed, very slow charging even with 65w charger, call loudspeaker..."
270,Superb
270,After using it for almost a month i can say it gets heated up while using it continuously. I am using it with an armour back cover which may be a reason. However while charging it also gets heated. Ot...
270,Phone is excellent..! Specially camera of the phone is amazing..! But one thing which I didn't like that phone doesn't have it's own Gallery🥴...!
270,display and camera awsome...but motorola improves wegan lather to glass on back side..and here in the box cover is not available on this model
270,"Good screen clearty ,good  performance and awesome phone"
300,Good phone at this price
300,Value for money 💰
300,Everything is very good but one case in the box must be needed
330,everything perfect
330,Display is to good good but some time android 15 lac but performance is to good I think this issue fixed in software update.
330,Fantastic disign 😍😊
330,Valuable cost for good product
330,"Satisfied, working very well, delivered with good condition"
330,"One of the Best Phone in the segment!!
Design is good , very good camera and brilliant performance"
330,Good the phone camera is the best 😀💘
330,"Well improved performance is seen in this phone, as im already a user of Motorola 😊, happy with this product👍🏻😊❤️, go on with this product without any worry👍🏻"
330,"Mobile is very good
Display fantastic 
Battery very good
Camera excellent 
Performance good, it can handle games but not for gamers
Ui is having some lags they may fix soon.
This is very good phone fo..."
150,I bought it for my DAD.He loved the mobile.I am satisfied to see a smile on his face thanks MOTO 😊
180,Wonderful pce
180,Red line appeared just in one week after purchasing.
240,Super performance camra and bettry 👍😊
270,"This phone is excellent,Top class performances, stylish and very slim design, fantastic high resolution display even in Day light, powerful battery and super fast quick charging,tough, durable and  ve..."
270,"The phone in terms of everything is a solid one and also all rounder. The design, performance and camera are very good and the display is one the best along side dual stereo speakers with support for ..."
270,The phone is very good  works well in all performance ❤️❤️✅
270,Super quality na Tiruppur tamilnadu worthana mobile indha panadhukku yellarum vaangunga 🥰
270,Amazing Product.
300,"Value for money phone in this price segment.
Pros
1. Good display for multimedia.
2. Battery backup is good.
3. Camera quality is also good.
Cons:
No back Cover.
No tempered for screen protection.
UFS..."
300,So very happy
330,"Beautiful Mobile
Camera Quality Awsmm
Battery Backup Very Good"
330,Allrounder phone with good camera in this price range.No over processing no over sharpening. I am in love with this beast.
330,Good product.
330,Best budgets phone
330,"10 out of 5...just incredible at this range of price, beated almost every phone of this range of segment in all perspective. I really appreciate, Cheers Motorola."
330,When it comes to look moto just kill the compilation.panton validation is not for advertisement it's actually seen in real life . Superb display n outdoor visibility is crystal clear.overall a balance...
330,"Slim,look design and good performance"
6,"The moto edge 60 fusion genuine review 

1. camera quality decent 
2. display too good.
3. battery 🔋 up to the mark for daily use 
4. performance super.
5. too light weight and handy for routine work..."
16,Ty to flipkart
17,Star
18,I must to be should advise to purchase this phone under 20 thousand because no any one phone is equal to this phone . Yes I also hear the most video for their bad comments and bad reviews but when I p...
23,Perfect for normal user
28,Osm
29,"Overall best product at this price, best camera best battery backup and fast charging also and the display was also good , Performance is Mind-blowing, those who want a good camera and a good battery ..."
30,Nice but ok not best in this segment....
30,"Overall This is Amezing Mobile, There are Pros and Cons
Please Like If You Have any Information.
Pros,
1. Camera Quality In This Price Great 
2. Display Top Notch 10/10
3. Design Good at All
4. Dolby ..."
30,"All good 👍 👍
Camera 5/5
Display 5/5
Design 5/5
Performance 5/5
Volume Thoda slow 3/5"
30,"Very nice product 👍
Value for money"
30,"It's been 6 months since I bought this phone. I bought this for my mom. Till now it's working fine and worth for money. Everything works fine. 

Note: Only recommended for parents who use it for media..."
30,Very good
30,Fantastic 😍
30,Good mobile 1 mahina use experience 🔥💯
30,Nice
30,Nice pic
60,Best in market under 18K
60,Had a good experience
60,Nice phone
60,Nice moto phone 🤳
60,Very nice
60,Best camera phone in this price range. Best battery 🪫 backup.
60,beautiful looking Nd good Camara overall best at price range
60,Very light weight and look like beautifull..
60,Super premium quality while I take this mobile in my hand.  Very slim and looking like an infinity display.because  of quad curve edges. The camera is awesome compared to 35 k mobile. This one is good
60,"Superb. Color and design is outstanding.
Under sunlight, performance is good with no photographical camera hang.
Overall it's good experience."
60,"Very nice phone .. performance is good , battery backup is satisfactory for normal use.
Camera performance also very good . But sometimes touch doesn't response but this happens in once in a week . No..."
60,This phone is very good... It's a all rounder phone
90,Nice and perfect 👍
90,I purchased this for my cousion Superb phone this is my 2nd edge 60 fusion phone
90,Camera is so good 👍
90,"Good phone with good specifications... Nice camera at this price .... The software is stock so it's clean.. 

No such useful AI features but we should not expect looking at the price..."
90,The camera is better integrated with the chipset and has more power on clicks as compared to 60 pro.
90,"Accessories are very low quality 
Because of that I have been facing problems for a long time."
90,"The best phone I've ever used. No lag no heating issue...flawless running and secured with latest patches updates.
Thanks moto"
120,Nice pic of cam
120,Gd
150,"As i have using it for the last 1 month, the phone is perfect for the price range. And over all performance is better to other brand mobiles in this segment"
150,Amazing
150,After using 2 month it's feel good mobile and software camera nice display and battery capacity awasome....charge time little bit late but after charging use 2 days nice phone worth for money
150,Very very good 👍 and nice 🙂🙂
150,Best Phone in Budget. Go ahead with Moto
150,Good 👍
150,Super camera 📸 best battery 1  1/5 Day superb display
150,Best phone . Best feature. Camera quality is excellent.
150,Best phone under 20k ..... Leave realme p4 pro ..... Buy this!
150,Good phone
150,Very nice
150,All Good But Performance slightly slower for gaming people
150,Semma mobile
150,Amazing . I am happy with this mobile
150,The design is very good even with a slim phone. The rear camera is good but the front can be better if they work more on it and overall performance is good but the screen guard for the curved display ...
150,Best in the segment
150,"All good 👍😊 
Brilliant camera,performance and battery life, charging speed is faster. 
But Display brightness are outer for seen average"
150,Super phone my wife was so happy
150,Very good phone 🤘🤙
150,Excellent
150,Under 20k wonderful mobile
150,Best mobile on this affordable price loved it ! ❤️🙌
150,"*Awesome phone!*  
Moto Edge 60 Fusion is very smooth and stylish. Display is super clear, phone is fast, and charging is very quick. Camera quality is good. Battery lasts well. Totally worth the pric..."
150,But back side cover and screen gud has given more ha
150,Good performance 👍
150,Good
150,Awesome 👍
150,Best all-rounder
150,Very nice
150,Overall fone is good. There is an fm radio app missing.
150,"Overall a very good device performance wise.
Good processor.
Virtually expandable RAM.
Cameras are clear.

Just I wish Moto should make phones without curved display. It's not that amazing thing but a..."
150,Very nice
150,"Camera - 4.5/5 ( back camer)
               4/5 ( front camera)
Display - 5/5
Battery - 4/5
Design - 3.5/5
Overall a good budget phone 
Thankyou"
180,"The great been using egde 60 fusion till now , it's been more the 2 month and it's definitely worth the investment , battery life is one of the main advantage ."
180,Great phone
180,Thank you
180,original product
180,Very good
180,Besst mobile mustttt buyyyu
180,This is q good product with adorable quality but could have been significantly improved
180,Very good and nice
180,Good product in 19k
180,Very amazing mobile phone under 23k
180,Design and performance is peak! Build quality is very admirable although we will be looking forward for new and better devices till now the current device we have is impressive.
180,"Its a great deal to have ! Best ever phone from the house of Hello Moto !!!! Camera is doing lot more in this price segment. 

The curved screen male this device more premium."
180,"Using this phone for 2 months now and quite satisfied with it
Display is superb 10/10
Battery is enough with 68w fast charging 10/10
Design is premium 10/10
UI is good 9/10
Camera 9/10"
180,So good and the camera quality is literally very good and it is going so smoothly it is so good i like it ihad rate it 5 ⭐⭐⭐⭐⭐
180,Using for two days. Feeling awesome..
180,Very nice phone in this segments. The only problem is sometime it lag . Otherwise from every aspect it beats the competition.
180,"The phone is very good, especially its camera, just wow."
180,Premium feeling in budget
180,Nice one....
180,Very good product and a overall allrounder phone .But don't go for it because it quite weak phone
180,"Fantastic device, i loved it , everything is good in this device, but battery size should be bigger"
180,Nice product
180,"value for money, good design, very premium in-hand feel overall a balanced smartphone"
180,Superb product
180,Product is good problem is lag to open an application
180,All good
180,All are good and battery chargeing very fast and camera good but performance is little bit slow
180,"Best mobile under 25k
Thanku Flipkart"
180,Good phone and very fast delivered within 24 hours
180,"One the best phone in this price range . No other mobile can compare with this one. I gift this one of my wife.
1.Camera Quality of the phone is phenomenal beautiful picture 5/5
2. Display looking and..."
180,"I use this phone for my secondary phone and quality is brilliant 
Camera 10/10 
Performance 10/10 
Battery 10/10 
Display 08/10 
Heating playing pubg for 45 min and 
Charging speed se slow"
180,Superb phone
180,Best phone in this segment. camera is also amazing overall good experience with motorola
180,"Camera , display and body design are awesome and performance is also good for casual gaming.
Battery can also last whole day on full charge."
180,Nice
180,Good product oosam look good battery backup
210,"Nothing complaining, just the best phone in its segment. Moto is timely improving its design quality and customer's perception. Just a software fixes can help Moto to rule the market again."
