days,content,cleaned_review
300,"After using more than a month i am writing this review.

A stylish phone no doubt but lags in many things.

1. As it is a curve display when you are in full screen mode and watching a video and you wa...",after using more than a month i am writing this review a stylish phone no doubt but lags in many things 1 as it is a curve display when you are in full screen mode and watching a video and you wa
330,Design and display is good lightweight and sleek design. Looking very beautiful design.,design and display is good lightweight and sleek design looking very beautiful design
330,"It's Good option for buying under budget and modern Design....
But with out free back case in tha box.
Only adaptor, charging cable and sim pin only available this Device......
Most important never bu...",it s good option for buying under budget and modern design but with out free back case in tha box only adaptor charging cable and sim pin only available this device most important never bu
180,Best camera quality 🥰😊,best camera quality
330,"This is a very good mobile, its performance is very good, the camera adds very nice colors and gives very good results.",this is a very good mobile its performance is very good the camera adds very nice colors and gives very good results
270,Best product value for money🤗❤️,best product value for money
330,I think there is backlash in front camera quality then fusion 50. Fusion 50 front camera photo quality is far better than 60 fusion. Maybe motorolla will fix this problem with an update.,i think there is backlash in front camera quality then fusion 50 fusion 50 front camera photo quality is far better than 60 fusion maybe motorolla will fix this with an update
330,"Excellent design and build

Clean Android experience

Fast charging

Good cameras for the price",excellent design and build clean android experience fast charging good cameras for the price
300,I really impressed with this camera 🤳 i love it moto brand i suggest to people buy it 😀 I also camera vivo v30 pro camera but it beat that camera 📸,i really impressed with this camera i love it moto brand i suggest to people buy it i also camera vivo v30 pro camera but it beat that camera
330,Not bad...,not bad
300,Overall good product. Top notch in this price 😍,overall good product top notch in this price
150,I have purchased this smartphone in big billion days sale 24 sept and after 13 days I have faced charging issues. Smartphone is not charging.,i have purchased this smartphone in big billion days sale 24 sept and after 13 days i have faced charging issues smartphone is not charging
330,Overall good camera..,overall good camera
330,"Phenomenal purchase ,
Camera quality is best
Battery is humungous
Water resistant ip68, ip69
Fast charger

The main part is the display that is quad curve Oled display 
Must purchase it",phenomenal purchase camera quality is best battery is humungous water resistant ip68 ip69 fast charger the main part is the display that is quad curve oled display must purchase it
330,Ultimate all in one phone. Since I am a user of edge 50 fusion I am satisfied but missing two features i.e no app lock and Internet speed not showing on top. But now they provide the same on 60 fusion...,ultimate all in one phone since i am a user of edge 50 fusion i am satisfied but missing two features i e no app lock and internet speed not showing on top but now they provide the same on 60 fusion
300,"Having some software problem 
On a few occasions it switches off automatically. Sometimes video never fits full screen 
Sometimes the back button never work on the home screen we need to change the sl...",having some software on a few occasions it switches off automatically sometimes video never fits full screen sometimes the back button never work on the home screen we need to change the sl
300,"Writing after one and half month of usage.....Phone is good lookwise, premium look and feel..but who wants only looks, phone is not for that...with every small task, even during call, this gets heated...",writing after one and half month of usage phone is good lookwise premium look and feel but who wants only looks phone is not for that with every small task even during call this gets heated
210,"Its too good phone at this price range...
Camera: outstanding  back camera is 10 on 10 but front camera is 5 on 10.
But screen is not working properly, may be it will be fixed after updates..",its too good phone at this price range camera outstanding back camera is 10 on 10 but front camera is 5 on 10 but screen is not working properly may be it will be fixed after updates
270,"My new Moto Edge 60 Fusion, replacing my Samsung Galaxy M52, has truly justified its cost. I'm particularly impressed with its excellent camera, long-lasting battery, and remarkably lightweight build.",my new moto edge 60 fusion replacing my samsung galaxy m52 has truly justified its cost i m particularly impressed with its excellent camera long lasting battery and remarkably lightweight build
330,Here is the conclusion: camera is best in the segment. Display undoubtedly a flagship level upgrade . Battery and charging top notch . The performance is quit good it can easily run your day day task ...,here is the conclusion camera is best in the segment display undoubtedly a flagship level upgrade battery and charging top notch the performance is quit good it can easily run your day day task
330,"Excellent phone in the price range.
Display and OS is impressive in this price range.
Compare to realme p3 pro this OS and camera is far better. 
For daily use no lag, I am not a gamer. Very smooth ex...",excellent phone in the price range display and os is impressive in this price range compare to realme p3 pro this os and camera is far better for daily use no lag i am not a gamer very smooth ex
240,I like this phone,i like this phone
330,Nice phone nice picture,nice phone nice picture
210,"Motorola edge 60 Fusion 5G was a awesome smartphone 
🥰 This phone 📱 camera was really good 👍😊 
Phone 📱 performance is amazing bettary so nice 👍 
Thank you Motorola edge 60 Fusion 
I like this phone 🤳",motorola edge 60 fusion 5g was a awesome smartphone this phone camera was really good phone performance is amazing bettary so nice thank you motorola edge 60 fusion i like this phone
210,"Battery back up is excellent upto 2.5 days.
Camera display and performance are also excellent.",battery back up is excellent upto 2 5 days camera display and performance are also excellent
180,Best mobile,best mobile
240,Best camera phone,best camera phone
300,Satisfied,satisfied
330,Nice phone,nice phone
330,"The product is good. Received it today.
Will update my review again after using it for a few days.",the product is good received it today will update my review again after using it for a few days
270,This is the best camera phone...,this is the best camera phone
300,Very Nice phone 📱,very nice phone
330,"this phone has everything that is needed a good camera,good battery backup , very good performance just only the thing that is bad is that they are not providing a back cover and a screen guard as it ...",this phone has everything that is needed a good camera good battery backup very good performance just only the thing that is bad is that they are not providing a back cover and a screen guard as it
330,"You can go for it.
It is value for money  phone and camera is very good.",you can go for it it is value for money phone and camera is very good
330,Very nice phone camera battery is also very good and performance is very good very slim and light in weight.,very nice phone camera battery is also very good and performance is very good very slim and light in weight
270,"Camera 📸 quality is very exillent 
Better backup good
Super display 4k
Sound is very super",camera quality is very exillent better backup good super display 4k sound is very super
330,"Very good camera performance, good battery life and best for normal daily tasks.",very good camera performance good battery life and best for normal daily tasks
330,Hanging issue,hanging issue
270,"Excellent choice if you are a non gamer!
Look : top notch
Display : excellent display protected by Corning gorilla glass.outdoor brightness also very good.some people don't like curved displays though...",excellent choice if you are a non gamer look top notch display excellent display protected by corning gorilla glass outdoor brightness also very good some people don t like curved displays though
330,beautiful and slim design... display superb... pure android 🤖... smooth optamization...,beautiful and slim design display superb pure android smooth optamization
330,"Great phone at a superb price. Feels very good in hand.
Mind blowing screen.
Battery survives for more than 24 hrs even if u use it continously.
Great audio (call) quality. Good headphone quality as w...",great phone at a superb price feels very good in hand mind blowing screen battery survives for more than 24 hrs even if u use it continously great audio call quality good headphone quality as w
300,When i charge my phone it is heated very much. Otherwise all is ok in this phone.,when i charge my phone it is heated very much otherwise all is ok in this phone
330,Very good Product in this Price,very good product in this price
330,Superb one🥰 love this phone,superb one love this phone
150,Best in this price range,best in this price range
330,"Such a well balanced, less weight,  easy to carry , and gorgeous display along with dolby , along with curvy beauty phone..  it touches every aspect in phone scenario,, what else we could expect more ...",such a well balanced less weight easy to carry and gorgeous display along with dolby along with curvy beauty phone it touches every aspect in phone scenario what else we could expect more
330,Amazing phone at this range. Display is too good 👍 and mobile is so thin as compare to others. It feels amazing 😍 . Overall I m satisfied with this.,amazing phone at this range display is too good and mobile is so thin as compare to others it feels amazing overall i m satisfied with this
240,Just like wow 😲😲😲😲,just like wow
330,Best phone for daily life task.👍,best phone for daily life task
300,"Motorola edge 60 fusion is one of the best phone under 25k No doubt. Here is
Pros :- 
Great Camera Quality 
Vibrant and Immersive Display 
 Speaker is loud and clear
Design is outstanding with vegan l...",motorola edge 60 fusion is one of the best phone under 25k no doubt here is great camera quality vibrant and immersive display speaker is loud and clear design is outstanding with vegan l
330,Brilliant,brilliant
180,Great product,great product
330,"Pros :

1.Excellent curvy display 
2.Premium looks and pretty vegan leather design 
3.Awesome camera with top quality in daylight 
4.Smooth experience with good refresh rate 
5.Best Water resistance u...",1 excellent curvy display 2 premium looks and pretty vegan leather design 3 awesome camera with top quality in daylight 4 smooth experience with good refresh rate 5 best water resistance u
180,The camera needs to be improved,the camera needs to be improved
180,"Camera great(in price range), Battery is enough and charging speed is also great, Display and colours are 10 out of 5,  but........panel gap in back side is visible, and ....
performance:- jitternes e...",camera great in price range battery is enough and charging speed is also great display and colours are 10 out of 5 but panel gap in back side is visible and performance jitternes e
330,"Satisfied expectations, camera is better, battery average overall performance is good",satisfied expectations camera is better battery average overall performance is good
330,Good performance,good performance
330,"It's a really good smartphone under 20K. 
Pros- 
Best camera experience 
Best display experience 
Best Battery back up
Very thin and light weight 
Fast charging outstanding 
Moto AI helps in very aspe...",it s a really good smartphone under 20k best camera experience best display experience best battery back up very thin and light weight fast charging outstanding moto ai helps in very aspe
210,"The phone is good for this amount, camera quality is awesome 💯 display also is the best overall good but only one issue phone little hitting",the phone is good for this amount camera quality is awesome display also is the best overall good but only one issue phone little hitting
210,"I am using this for the past 1 month. There is a slight late in the processor as it is mediatek but in overall I am happy with the product. Camera,Design,Photos and the sound with the dolby atmos in i...",i am using this for the past 1 month there is a slight late in the processor as it is mediatek but in overall i am happy with the product camera design photos and the sound with the dolby atmos in i
210,Very nice,very nice
270,Very good 👍 👍👍👍,very good
270,The camera is just awesome... Display great ... Battery performance up to the mark,the camera is just awesome display great battery performance up to the mark
300,"Photo is hm supar 
Display quality super 
Battery  is not performance 
Process is good process",photo is hm supar display quality super battery is not performance process is good process
300,nice photo motorola,nice photo motorola
300,Very nice performance camera and display photos click 😀,very nice performance camera and display photos click
330,Good camera and proforma,good camera and proforma
330,Very good,very good
330,"Over all nice 
🥰",over all nice
300,Good phone with decent performance. Undoubtedly the best looking phone in this price range. Overall satisfied.,good phone with decent performance undoubtedly the best looking phone in this price range overall satisfied
330,Must buy phone at this range,must buy phone at this range
300,"The phone really feels premium in terms of build quality. 
Phone is super slim despite having such a good battery size.
Dolby Atmos also works well.
Experienced little heating issue while charging.
Di...",the phone really feels premium in terms of build quality phone is super slim despite having such a good battery size dolby atmos also works well experienced little heating issue while charging di
330,Best mid range phone with premium looks,best mid range phone with premium looks
270,"Camara is stunning 
Bettry is also very good It lasts for a day,
Performance is a issue not expected at this price 
Display is looking",camara is stunning bettry is also very good it lasts for a day performance is a issue not expected at this price display is looking
330,"Superb i love it 
Battery 
Performance 
camera 
Display 
Design overall 5star love it
❤️❤️❤️❤️",superb i love it battery performance camera display design overall 5star love it
300,"This smartphone gives a flagship level feelings, camera is awesome in this price .If you're not heavy gamer then go for it without hesitation.",this smartphone gives a flagship level feelings camera is awesome in this price if you re not heavy gamer then go for it without hesitation
210,"No doubt moto phones are value for money. But the same design for the last 4 years is quite disappointing. 

Biggest drawback , all moto phones look the same, no matter if it's fusion or ultra .

Noth...",no doubt moto phones are value for money but the same design for the last 4 years is quite disappointing biggest all moto phones look the same no matter if it s fusion or ultra noth
300,"The product is really good and nice 
Good camera quality and the process of the picture is very nice 
The performance is also nice no lag 
Display is very nice",the product is really good and nice good camera quality and the process of the picture is very nice the performance is also nice no lag display is very nice
300,Super mobile... Camera was assumed and with Sony and the dimensity 7400 was rocked !!!!,super mobile camera was assumed and with sony and the dimensity 7400 was rocked
300,Camra quality is very good 👍,camra quality is very good
330,"I think the best phone you can get below 23000 the camera is the best thing about this phone, also look is the premium quality one.",i think the best phone you can get below 23000 the camera is the best thing about this phone also look is the premium quality one
330,1st Impression Awesome Phon,1st impression awesome phon
330,Best in business,best in business
180,Very good 👍👍,very good
330,It's a lightweight Phone with matte finishing look.Good Camera Clarity.Definitely Go for it for a Beautiful and comfort experience.,it s a lightweight phone with matte finishing look good camera clarity definitely go for it for a beautiful and comfort experience
330,Writing this review after 1 month...It's the best android phone in this price segment... Everything is top notch...The camera is great for this price... Best phone for everyday activities with the bes...,writing this review after 1 month it s the best android phone in this price segment everything is top notch the camera is great for this price best phone for everyday activities with the bes
180,"The camera quality is too good to be true!!!
The performance is really good! This is the only phone that I can call a complete all rounder!!! No thoughts just go for it if you want to purchase it!! Th...",the camera quality is too good to be true the performance is really good this is the only phone that i can call a complete all rounder no thoughts just go for it if you want to purchase it th
210,Night vision clicks are absolutely great compared to day time.,night vision clicks are absolutely great compared to day time
270,Camera was so good,camera was so good
270,"This is the best mobile in this price range. It offers a balanced experience for moderate users and is a complete package with a good camera, strong battery life, impressive display, and stylish design.",this is the best mobile in this price range it offers a balanced experience for moderate users and is a complete package with a good camera strong battery life impressive display and stylish design
330,Awesome yrrr... camera just outstanding 🔥....Go for it..,awesome yrrr camera just outstanding go for it
330,Motorola is best phone 👌,motorola is best phone
330,Camera was very beautiful but very thin mobail am very scary about to using this phone,camera was very beautiful but very thin mobail am very scary about to using this phone
60,"I have used this for 6 months now and I am happy with my decision to buy this.

However, there a few drawbacks, main one being the curved display, since it is curved it is more fragile, and it is plas...",i have used this for 6 months now and i am happy with my decision to buy this however there a few drawbacks main one being the curved display since it is curved it is more fragile and it is plas
150,One of the excellent device but I also miss the NFC and eSIM features on this device.,one of the excellent device but i also miss the nfc and esim features on this device
180,"Good one but menu is not seems to user friendly. Missing it's own file manager. Smooth curve glass, battery is good, 8 hours continuous play. Camera output is strange and little non realistic. It give...",good one but menu is not seems to user friendly missing it s own file manager smooth curve glass battery is good 8 hours continuous play camera output is strange and little non realistic it give
180,Overall good,overall good
180,Best 📲 mobile,best mobile
180,Value for money,value for money
210,"Mobile is very good but some apps like Gallery, File Manager, and others more apps are not available in this phone .....this is the only flaw.....i request the company plz bring these things like othe...",mobile is very good but some apps like gallery file manager and others more apps are not available in this phone this is the only flaw i request the company plz bring these things like othe
210,Overall very good at this price range with exchange offer,overall very good at this price range with exchange offer
240,Low Battery back-up and overheating both issue in purchage of first day,low battery back up and overheating both issue in purchage of first day
270,Best in this price range,best in this price range
270,"Battery improved, long tall mobile but in hand feels okay.
The display is super smooth and brighter , classy and premium. The battery does not drain at all. Super fast charging but my other charger go...",battery improved long tall mobile but in hand feels okay the display is super smooth and brighter classy and premium the battery does not drain at all super fast charging but my other charger go
330,All thing is good but camera performance is not too good during night,all thing is good but camera performance is not too good during night
330,"Pros:
Good display 
Clean software 
Good design 
Base variant starting from 8-256 which is best in the price range 

Cons: 
No back cover 
No screen protector",good display clean software good design base variant starting from 8 256 which is best in the price range no back cover no screen protector
330,"Hello Guys, 
I'm writing this review after 2days of my purchase of new moto edge 60 fusion phone.

The phone looks beautiful in hand more then in pictures. The purple/violet colour is actually darker ...",hello guys i m writing this review after 2days of my purchase of new moto edge 60 fusion phone the phone looks beautiful in hand more then in pictures the purple violet colour is actually darker
300,"Display - Excellent 
Performance - Butter smooth 
Camera - Excellent 
Sound - Dolby Atmos is good but not loud
Design - Not good, Back camera occupied 30% of space, back camera setup is not as good as...",display excellent performance butter smooth camera excellent sound dolby atmos is good but not loud design not good back camera occupied 30 of space back camera setup is not as good as
330,"Camera quality -4.5/5
Battery -4/5
Display quality -5/5
Performance -4.5/5
Design -5/5
Really amazing and worth for this price range.",camera quality 4 5 5 battery 4 5 display quality 5 5 performance 4 5 5 design 5 5 really amazing and worth for this price range
60,I write this review after use it 5 to 6 months best quality camera and battery you can blindly buy it worth of your money nothing problem I can face this duration awesome phone thank you Motorola as w...,i write this review after use it 5 to 6 months best quality camera and battery you can blindly buy it worth of your money nothing i can face this duration awesome phone thank you motorola as w
120,All Performance is good 💯😊,all performance is good
150,Awesome 😎👍,awesome
150,Superb mobile 👌👌😍 1 No,superb mobile 1 no
180,Best product 😘,best product
180,Excellent,excellent
180,Value for money devic,value for money devic
180,Best features are available,best features are available
180,"Phone is mind blowing but there is less some apps in the phone, and one of the best phone in this price range",phone is mind blowing but there is less some apps in the phone and one of the best phone in this price range
180,"It's Outstanding performance and very attractive design to use thank you 🙏 moto,and great to use our Indian product",it s outstanding performance and very attractive design to use thank you moto and great to use our indian product
180,"Value for money 💰
Camera Good 
Overall mobile performance good",value for money camera good overall mobile performance good
210,The camera quality is superb... performance i,the camera quality is superb performance i
210,"The reviews for this phone speak for themselves...

This phone has exceptional value in the 20k- 25k range, delivering well-balanced performance:

1. Excellent camera quality
2. Reliable and smooth pe...",the reviews for this phone speak for themselves this phone has exceptional value in the 20k 25k range delivering well balanced performance 1 excellent camera quality 2 reliable and smooth pe
210,Excellent picture with decent performance and good battery backup,excellent picture with decent performance and good battery backup
210,"Nice Phone recently i switched from iphone 
It's worth purchase",nice phone recently i switched from iphone it s worth purchase
210,Nice quality,nice quality
240,Good product you can go for it,good product you can go for it
240,Great features witu great camera and awesome potrait,great features witu great camera and awesome potrait
270,One of the best camera and best handset wonderful 👍,one of the best camera and best handset wonderful
270,Camera Good quality,camera good quality
270,Love it. I order for my mom bday gift,love it i order for my mom bday gift
270,Verry nice,verry nice
300,Awesome,awesome
300,It's nice.... But it has some ui bugs and it could be better if they pre installed screen protector film and provide back case,it s nice but it has some ui bugs and it could be better if they pre installed screen protector film and provide back case
300,"After 2 days using Motorola 60fusion ,All is fantastic in this mobile, camera quality,sound quality,touch of mobile,and design of mobile....overall performance is nice,dnt listen to negative review......",after 2 days using motorola 60fusion all is fantastic in this mobile camera quality sound quality touch of mobile and design of mobile overall performance is nice dnt listen to negative review
300,Awesome 👍,awesome
300,Its design is amazing,its design is amazing
300,Best phone in this price segment . Feels like premium phone in such a low price . 😃,best phone in this price segment feels like premium phone in such a low price
300,"Motorola phones are very cheap and feature-rich compared to other brands and their camera, display, design are excellent⭐️⭐️⭐️⭐️⭐️",motorola phones are very cheap and feature rich compared to other brands and their camera display design are excellent
300,OSM,osm
300,"Good phone in price range or camera quality, also good",good phone in price range or camera quality also good
300,"Camera 10/10
Display 10/10
Battery 9.5/10
Overall Performance awesome 😎👍👍👍",camera 10 10 display 10 10 battery 9 5 10 overall performance awesome
300,"The Motorola Edge 60 Fusion featuring a vegan leather back that feels premium to the touch, a square camera module, and a glossy Motorola logo at the centre. The edges are slightly curved, as is the d...",the motorola edge 60 fusion featuring a vegan leather back that feels premium to the touch a square camera module and a glossy motorola logo at the centre the edges are slightly curved as is the d
330,"For me everything in this is more than worth, just concerned about the back leather finish it can easily get dirty",for me everything in this is more than worth just concerned about the back leather finish it can easily get dirty
330,Great phone at a affordable price.... Processor could have been better....camera is great... display is outstanding....,great phone at a affordable price processor could have been better camera is great display is outstanding
330,"The main highlight of this phone is the display, Camera,UI and the felling of stock android 
Overall the phone is targetted to a normal person * NOT TARGETED TO GAMERS *
I AM HAPPY WITH THIS PHONE🥰",the main highlight of this phone is the display camera ui and the felling of stock android overall the phone is targetted to a normal person not targeted to gamers i am happy with this phone
330,"Just awesome 
But cover and screen guard not included and not available in online and offline market
Phone is great light weight design is super speaker is clear and loud",just awesome but cover and screen guard not included and not available in online and offline market phone is great light weight design is super speaker is clear and loud
330,Awesome phone.,awesome phone
240,"Mobile is not good, hanging and software issues, screen flickering, 
Slow performance",mobile is not good hanging and software issues screen flickering slow performance
330,Good product still need more updates to stable the mobile. In box no screen guard or back cover provided. Overall mobile quality is premium.,good product still need more updates to stable the mobile in box no screen guard or back cover provided overall mobile quality is premium
300,"Used Edge 50 Fusion until now, have been always a fan of Moto. This phone is definitely an upgrade of Edge 50 Fusion. Those who are wondering about performance it's quite awesome if you don't play gam...",used edge 50 fusion until now have been always a fan of moto this phone is definitely an upgrade of edge 50 fusion those who are wondering about performance it s quite awesome if you don t play gam
330,"+ Display + Dual Speakers + Battery
- Performance - Camera - Glitches",display dual speakers battery performance camera glitches
210,"Mediatek processor super patchy (phone h) like Indian highways 
Slow camera like modiji's vikas...
Call drops like Indian politicians' standards nowadays",mediatek processor super patchy phone h like indian highways slow camera like modiji s vikas call drops like indian politicians standards nowadays
300,"Very good mobile in this range Display is amazing,camera is very good, Battery is fine 1.5 day use.Overall a good balanced package in this price range.
Few issues which I faced were the in display fin...",very good mobile in this range display is amazing camera is very good battery is fine 1 5 day use overall a good balanced package in this price range few issues which i faced were the in display fin
300,"All things good except heating issue while charging and also while using the phone with internet on continuously. If you turn on charge boost, then the phone will heat like anything while charging. In...",all things good except heating issue while charging and also while using the phone with internet on continuously if you turn on charge boost then the phone will heat like anything while charging in
300,"Everything is perfect...
But there should be UFS 3.1 storage type..
Because I feel sometimes UFS 2.0
And it's laggy
But other than that everything is chummeshwari",everything is perfect but there should be ufs 3 1 storage type because i feel sometimes ufs 2 0 and it s laggy but other than that everything is chummeshwari
300,"Top notch phone but I found some issues with the battery.
The battery was a little faster but overall this phone is an absolute bang!! Highly recommended !!
If you're thinking of a phone which has dec...",top notch phone but i found some issues with the battery the battery was a little faster but overall this phone is an absolute bang highly recommended if you re thinking of a phone which has dec
330,"I noticed the battery drying fast.
Camera clarity is very good.
Display colours are also good.",i noticed the battery drying fast camera clarity is very good display colours are also good
330,I just love the colour and design quality of this phone go for it,i just love the colour and design quality of this phone go for it
210,Awesome product of Moto...go for it without any doubt,awesome product of moto go for it without any doubt
210,"Nice phone captures good photos , performance is good for daily usage, moderate gaming and looks and design is unbeatable.",nice phone captures good photos performance is good for daily usage moderate gaming and looks and design is unbeatable
240,All good,all good
270,I very very very very very love it.,i very very very very very love it
300,Very good product nice performance of this mobile u can buy this mobile any hesitation,very good product nice performance of this mobile u can buy this mobile any hesitation
300,"I was using Moto Edge 50 Fusion from last year.
A lot of improvements are clearly visible 
Camera quality, Ai features 
Body ,colour
And also it's more handy now",i was using moto edge 50 fusion from last year a lot of improvements are clearly visible camera quality ai features body colour and also it s more handy now
300,Superb camera. Nice battery backup. Worth for the money.!,superb camera nice battery backup worth for the money
330,"Overall the phone is good
I genuinely love it",overall the phone is good i genuinely love it
330,"PROS 
CAMERA 
NIGHT LIGHT PHOTO LITTLE SATISFIED BUT DAY LIGHT GOOD
PERFORMANCE 
PLAYED GTA AND ASPHALT NO LAG NO HEAT USE PLAYED PUBG G TOOO.
BATTERY 
DRAIN SO SLOW 30 MIN 70%-80% 
BEST PHONE UNDER T...",camera night light photo little satisfied but day light good performance played gta and asphalt no lag no heat use played pubg g tooo battery drain so slow 30 min 70 80 best phone under t
330,SIMPLY AWESOME !!!BEST PHONE AT THIS BUDGET RANGE🎉,simply awesome best phone at this budget range
300,"Design is Awesome🌟
Display is great👍 
Performance is Pakka 200%
Overall Loved 😍 
Camera and Battery review will post after a week.",design is awesome display is great performance is pakka 200 overall loved camera and battery review will post after a week
330,"Very good mobile by moto...
Good camera...
Very good display...
Great looks and design...
Battery capacity can be better...",very good mobile by moto good camera very good display great looks and design battery capacity can be better
270,Recommended,recommended
210,"Everything is good 👍🏻 but battery draining is fast,I m not using the any gaming app,I hope this issues was fix in the coming up update, otherwise phone is too good, display is wonderful,camera is go...",everything is good but battery draining is fast i m not using the any gaming app i hope this issues was fix in the coming up update otherwise phone is too good display is wonderful camera is go
330,"Overall phone is good only the battery is drying very fast , battery is not so good even after 5500 mh battery i hope motorola will fix this problem with an update soon",overall phone is good only the battery is drying very fast battery is not so good even after 5500 mh battery i hope motorola will fix this with an update soon
330,"For 10 days I've been using this phone after that I'm writing this review 

Display-good
Primary Camera photos- good
Primary camera video - average ( because while you zoom out or zoom in the video ar...",for 10 days i ve been using this phone after that i m writing this review display good primary camera photos good primary camera video average because while you zoom out or zoom in the video ar
330,"Moto edge 60 Fusion Mobile is Good for This Price But Screen guard and back Case Not Provided in the Box because PANTONE Amazonite Colour is very Fast attract dust fingerprints easily 

Pros 
------
1...",moto edge 60 fusion mobile is good for this price but screen guard and back case not provided in the box because pantone amazonite colour is very fast attract dust fingerprints easily 1
330,I am the first person who brought this phone this phone is very good ☺️ for this range also play free fire 🔥,i am the first person who brought this phone this phone is very good for this range also play free fire
330,Thankyou Flipkart,thankyou flipkart
180,"Average product overall.
Performance remains decent so far with its Dimensity 7300 processor
Camera performs quite good as well
Pretty light weight too!
However, lack of basic applications like a gall...",average product overall performance remains decent so far with its dimensity 7300 processor camera performs quite good as well pretty light weight too however lack of basic applications like a gall
150,Camera quality is very poor... I didn't expected this from Motorola.,camera quality is very poor i didn t expected this from motorola
180,If you are buying this for camera then donot buy. I am having moto edge 50 fusion which is good for camera and overall performance. I thought moto edge 60 will be even better. But I found that moto ed...,if you are buying this for camera then donot buy i am having moto edge 50 fusion which is good for camera and overall performance i thought moto edge 60 will be even better but i found that moto ed
