days,content,sentiment,summary
330,Design and display is good lightweight and sleek design. Looking very beautiful design.,Pos,"Good design and display, lightweight and sleek."
330,"It's Good option for buying under budget and modern Design....
But with out free back case in tha box.
Only adaptor, charging cable and sim pin only available this Device......
Most important never bu...",Neg,"Good option under budget, but no free back case."
180,Best camera quality 🥰😊,Pos,Best camera quality.
330,"This is a very good mobile, its performance is very good, the camera adds very nice colors and gives very good results.",Pos,Very good mobile with good performance and camera.
270,Best product value for money🤗❤️,Pos,Best product value for money.
330,I think there is backlash in front camera quality then fusion 50. Fusion 50 front camera photo quality is far better than 60 fusion. Maybe motorolla will fix this problem with an update.,Neg,Front camera quality worse than Fusion 50.
330,"Excellent design and build

Clean Android experience

Fast charging

Good cameras for the price",Pos,"Excellent design, clean Android, fast charging, good cameras for the price."
300,I really impressed with this camera 🤳 i love it moto brand i suggest to people buy it 😀 I also camera vivo v30 pro camera but it beat that camera 📸,Pos,"Impressed with the camera, beats Vivo V30 Pro."
330,Not bad...,Neu,Not bad.
300,Overall good product. Top notch in this price 😍,Pos,"Overall good product, top notch in this price."
150,I have purchased this smartphone in big billion days sale 24 sept and after 13 days I have faced charging issues. Smartphone is not charging.,Neg,Charging issues after 13 days.
330,Overall good camera..,Pos,Overall good camera.
330,"Phenomenal purchase ,
Camera quality is best
Battery is humungous
Water resistant ip68, ip69
Fast charger

The main part is the display that is quad curve Oled display 
Must purchase it",Pos,"Phenomenal purchase, great camera, battery, display, and water resistance."
330,Ultimate all in one phone. Since I am a user of edge 50 fusion I am satisfied but missing two features i.e no app lock and Internet speed not showing on top. But now they provide the same on 60 fusion...,Pos,"Satisfied user, missing app lock and internet speed display, but now available on 60 Fusion."
300,"Having some software problem 
On a few occasions it switches off automatically. Sometimes video never fits full screen 
Sometimes the back button never work on the home screen we need to change the sl...",Neg,"Software issues, switches off, video and back button problems."
300,"Writing after one and half month of usage.....Phone is good lookwise, premium look and feel..but who wants only looks, phone is not for that...with every small task, even during call, this gets heated...",Neg,Good lookwise but heats up during small tasks.
210,"Its too good phone at this price range...
Camera: outstanding  back camera is 10 on 10 but front camera is 5 on 10.
But screen is not working properly, may be it will be fixed after updates..",Neg,"Good camera for the price, but front camera is weak and screen has issues."
270,"My new Moto Edge 60 Fusion, replacing my Samsung Galaxy M52, has truly justified its cost. I'm particularly impressed with its excellent camera, long-lasting battery, and remarkably lightweight build.",Pos,"Replacing Samsung, impressed with camera, battery, and lightweight build."
330,Here is the conclusion: camera is best in the segment. Display undoubtedly a flagship level upgrade . Battery and charging top notch . The performance is quit good it can easily run your day day task ...,Pos,"Best camera in segment, flagship display, top-notch battery and good performance."
330,"Excellent phone in the price range.
Display and OS is impressive in this price range.
Compare to realme p3 pro this OS and camera is far better. 
For daily use no lag, I am not a gamer. Very smooth ex...",Pos,"Excellent phone, impressive display and OS, better camera than Realme P3 Pro, smooth."
240,I like this phone,Pos,I like this phone.
330,Nice phone nice picture,Pos,"Nice phone, nice picture."
210,"Motorola edge 60 Fusion 5G was a awesome smartphone 
🥰 This phone 📱 camera was really good 👍😊 
Phone 📱 performance is amazing bettary so nice 👍 
Thank you Motorola edge 60 Fusion 
I like this phone 🤳",Pos,"Awesome smartphone with good camera, amazing performance, and nice battery."
210,"Battery back up is excellent upto 2.5 days.
Camera display and performance are also excellent.",Pos,"Excellent battery backup, camera, display, and performance."
180,Best mobile,Pos,Best mobile.
240,Best camera phone,Pos,Best camera phone.
300,Satisfied,Pos,Satisfied.
330,Nice phone,Pos,Nice phone.
330,"The product is good. Received it today.
Will update my review again after using it for a few days.",Neu,"Product is good, will update review after using it."
270,This is the best camera phone...,Pos,This is the best camera phone.
300,Very Nice phone 📱,Pos,Very nice phone.
330,"this phone has everything that is needed a good camera,good battery backup , very good performance just only the thing that is bad is that they are not providing a back cover and a screen guard as it ...",Neg,"Good phone overall, but lacks back cover and screen guard."
330,"You can go for it.
It is value for money  phone and camera is very good.",Pos,Value for money phone with a very good camera.
330,Very nice phone camera battery is also very good and performance is very good very slim and light in weight.,Pos,"Very nice phone with good camera, battery, performance, slim and light."
270,"Camera 📸 quality is very exillent 
Better backup good
Super display 4k
Sound is very super",Pos,"Excellent camera quality, good battery, super display, 4k sound."
330,"Very good camera performance, good battery life and best for normal daily tasks.",Pos,"Very good camera performance, good battery life, best for daily tasks."
330,Hanging issue,Neg,Hanging issue.
270,"Excellent choice if you are a non gamer!
Look : top notch
Display : excellent display protected by Corning gorilla glass.outdoor brightness also very good.some people don't like curved displays though...",Pos,"Excellent choice for non-gamers, top-notch display, good outdoor brightness."
330,beautiful and slim design... display superb... pure android 🤖... smooth optamization...,Pos,"Beautiful and slim design, superb display, pure Android, smooth optimization."
330,"Great phone at a superb price. Feels very good in hand.
Mind blowing screen.
Battery survives for more than 24 hrs even if u use it continously.
Great audio (call) quality. Good headphone quality as w...",Pos,"Great phone at a superb price, feels good, mind-blowing screen, long battery life."
300,When i charge my phone it is heated very much. Otherwise all is ok in this phone.,Neg,"Phone heats up when charging, otherwise all is ok."
330,Very good Product in this Price,Pos,Very good product in this price.
330,Superb one🥰 love this phone,Pos,"Superb one, love this phone."
150,Best in this price range,Pos,Best in this price range.
330,"Such a well balanced, less weight,  easy to carry , and gorgeous display along with dolby , along with curvy beauty phone..  it touches every aspect in phone scenario,, what else we could expect more ...",Pos,"Well-balanced, lightweight, gorgeous display, Dolby, curvy design, meets expectations."
330,Amazing phone at this range. Display is too good 👍 and mobile is so thin as compare to others. It feels amazing 😍 . Overall I m satisfied with this.,Pos,"Amazing, thin phone with a great display, satisfied overall."
240,Just like wow 😲😲😲😲,Pos,Just like wow.
330,Best phone for daily life task.👍,Pos,Best phone for daily tasks.
300,"Motorola edge 60 fusion is one of the best phone under 25k No doubt. Here is
Pros :- 
Great Camera Quality 
Vibrant and Immersive Display 
 Speaker is loud and clear
Design is outstanding with vegan l...",Pos,"Best phone under 25k, great camera, vibrant display, loud speaker, outstanding design."
330,Brilliant,Pos,Brilliant.
180,Great product,Pos,Great product.
330,"Pros :

1.Excellent curvy display 
2.Premium looks and pretty vegan leather design 
3.Awesome camera with top quality in daylight 
4.Smooth experience with good refresh rate 
5.Best Water resistance u...",Pos,"Excellent display, premium looks, awesome camera, smooth experience, best water resistance."
180,The camera needs to be improved,Neg,Camera needs improvement.
180,"Camera great(in price range), Battery is enough and charging speed is also great, Display and colours are 10 out of 5,  but........panel gap in back side is visible, and ....
performance:- jitternes e...",Neg,"Great camera/battery for price, amazing display, but panel gap and performance jitters."
330,"Satisfied expectations, camera is better, battery average overall performance is good",Pos,"Satisfied, better camera, average battery, good performance."
330,Good performance,Pos,Good performance.
330,"It's a really good smartphone under 20K. 
Pros- 
Best camera experience 
Best display experience 
Best Battery back up
Very thin and light weight 
Fast charging outstanding 
Moto AI helps in very aspe...",Pos,"Really good smartphone under 20k, best camera/display/battery, thin, light, fast charging, outstanding AI."
210,"The phone is good for this amount, camera quality is awesome 💯 display also is the best overall good but only one issue phone little hitting",Pos,"Good phone for the price, awesome camera, best display, but slight heating issue."
210,"I am using this for the past 1 month. There is a slight late in the processor as it is mediatek but in overall I am happy with the product. Camera,Design,Photos and the sound with the dolby atmos in i...",Pos,"Slight processor lag, but happy with camera, design, photos, and Dolby Atmos sound."
210,Very nice,Pos,Very nice.
270,Very good 👍 👍👍👍,Pos,Very good.
270,The camera is just awesome... Display great ... Battery performance up to the mark,Pos,"Awesome camera, great display, good battery performance."
300,"Photo is hm supar 
Display quality super 
Battery  is not performance 
Process is good process",Pos,"Good photo, super display, battery not great, good process."
300,nice photo motorola,Pos,Nice photo Motorola.
300,Very nice performance camera and display photos click 😀,Pos,"Very nice performance, camera, and display photos."
330,Good camera and proforma,Pos,Good camera and performance.
330,Very good,Pos,Very good.
330,"Over all nice 
🥰",Pos,Over all nice.
300,Good phone with decent performance. Undoubtedly the best looking phone in this price range. Overall satisfied.,Pos,"Good phone, decent performance, best looking, satisfied."
330,Must buy phone at this range,Pos,Must buy phone at this range.
300,"The phone really feels premium in terms of build quality. 
Phone is super slim despite having such a good battery size.
Dolby Atmos also works well.
Experienced little heating issue while charging.
Di...",Pos,"Premium build, super slim, good battery, Dolby Atmos, slight heating while charging."
330,Best mid range phone with premium looks,Pos,Best mid-range phone with premium looks.
270,"Camara is stunning 
Bettry is also very good It lasts for a day,
Performance is a issue not expected at this price 
Display is looking",Neg,"Stunning camera, good battery, performance is an issue, display is looking good."
330,"Superb i love it 
Battery 
Performance 
camera 
Display 
Design overall 5star love it
❤️❤️❤️❤️",Pos,"Superb, love it, great battery, camera, display, design, 5 stars."
300,"This smartphone gives a flagship level feelings, camera is awesome in this price .If you're not heavy gamer then go for it without hesitation.",Pos,"Great camera for the price, good for non-heavy gamers."
210,"No doubt moto phones are value for money. But the same design for the last 4 years is quite disappointing. 

Biggest drawback , all moto phones look the same, no matter if it's fusion or ultra .

Noth...",Neg,Moto phones have the same design for the last 4 years.
300,"The product is really good and nice 
Good camera quality and the process of the picture is very nice 
The performance is also nice no lag 
Display is very nice",Pos,"Really good product with nice camera quality, performance, and display."
300,Super mobile... Camera was assumed and with Sony and the dimensity 7400 was rocked !!!!,Pos,Super mobile camera with Sony and Dimensity 7400.
300,Camra quality is very good 👍,Pos,Camera quality is very good.
330,"I think the best phone you can get below 23000 the camera is the best thing about this phone, also look is the premium quality one.",Pos,"Best phone below 23000, great camera and premium look."
330,1st Impression Awesome Phon,Pos,Awesome phone.
330,Best in business,Pos,Best in business.
180,Very good 👍👍,Pos,Very good.
330,It's a lightweight Phone with matte finishing look.Good Camera Clarity.Definitely Go for it for a Beautiful and comfort experience.,Pos,"Lightweight phone with matte finish, good camera clarity."
330,Writing this review after 1 month...It's the best android phone in this price segment... Everything is top notch...The camera is great for this price... Best phone for everyday activities with the bes...,Pos,"Best Android phone in this price segment, great camera, good for everyday activities."
180,"The camera quality is too good to be true!!!
The performance is really good! This is the only phone that I can call a complete all rounder!!! No thoughts just go for it if you want to purchase it!! Th...",Pos,"Camera quality and performance are good, a complete all-rounder."
210,Night vision clicks are absolutely great compared to day time.,Pos,Night vision clicks are great compared to daytime.
270,Camera was so good,Pos,Camera was so good.
270,"This is the best mobile in this price range. It offers a balanced experience for moderate users and is a complete package with a good camera, strong battery life, impressive display, and stylish design.",Pos,"Best mobile in this price range, balanced experience, good camera, battery, display, and design."
330,Awesome yrrr... camera just outstanding 🔥....Go for it..,Pos,"Awesome camera, just outstanding."
330,Motorola is best phone 👌,Pos,Motorola is best phone.
330,Camera was very beautiful but very thin mobail am very scary about to using this phone,Neg,Beautiful camera but phone is very thin and scary to use.
60,"I have used this for 6 months now and I am happy with my decision to buy this.

However, there a few drawbacks, main one being the curved display, since it is curved it is more fragile, and it is plas...",Neg,"Happy with purchase after 6 months, but curved display is fragile."
150,One of the excellent device but I also miss the NFC and eSIM features on this device.,Neg,Excellent device but missing NFC and eSIM features.
180,"Good one but menu is not seems to user friendly. Missing it's own file manager. Smooth curve glass, battery is good, 8 hours continuous play. Camera output is strange and little non realistic. It give...",Neg,"Good but menu not user friendly, missing file manager, strange camera output."
180,Overall good,Pos,Overall good.
180,Best 📲 mobile,Pos,Best mobile.
180,Value for money,Pos,Value for money.
210,"Mobile is very good but some apps like Gallery, File Manager, and others more apps are not available in this phone .....this is the only flaw.....i request the company plz bring these things like othe...",Neg,Mobile is good but missing some apps like gallery and file manager.
210,Overall very good at this price range with exchange offer,Pos,Overall very good at this price range with exchange offer.
240,Low Battery back-up and overheating both issue in purchage of first day,Neg,Low battery backup and overheating issues on the first day.
270,Best in this price range,Pos,Best in this price range.
270,"Battery improved, long tall mobile but in hand feels okay.
The display is super smooth and brighter , classy and premium. The battery does not drain at all. Super fast charging but my other charger go...",Pos,"Improved battery, tall mobile, smooth display, fast charging."
330,All thing is good but camera performance is not too good during night,Neg,Camera performance is not good at night.
330,"Pros:
Good display 
Clean software 
Good design 
Base variant starting from 8-256 which is best in the price range 

Cons: 
No back cover 
No screen protector",Pos,"Good display, clean software, good design, best in price range."
330,"Hello Guys, 
I'm writing this review after 2days of my purchase of new moto edge 60 fusion phone.

The phone looks beautiful in hand more then in pictures. The purple/violet colour is actually darker ...",Neu,"Phone looks beautiful, purple violet color is darker."
300,"Display - Excellent 
Performance - Butter smooth 
Camera - Excellent 
Sound - Dolby Atmos is good but not loud
Design - Not good, Back camera occupied 30% of space, back camera setup is not as good as...",Neg,"Excellent display and performance, but design and back camera setup are not good."
330,"Camera quality -4.5/5
Battery -4/5
Display quality -5/5
Performance -4.5/5
Design -5/5
Really amazing and worth for this price range.",Pos,"Amazing camera, battery, display, performance, and design, worth the price."
60,I write this review after use it 5 to 6 months best quality camera and battery you can blindly buy it worth of your money nothing problem I can face this duration awesome phone thank you Motorola as w...,Pos,"Best quality camera and battery, worth the money."
120,All Performance is good 💯😊,Pos,All performance is good.
150,Awesome 😎👍,Pos,Awesome.
150,Superb mobile 👌👌😍 1 No,Pos,Superb mobile.
180,Best product 😘,Pos,Best product.
180,Excellent,Pos,Excellent.
180,Value for money devic,Pos,Value for money device.
180,Best features are available,Pos,Best features are available.
180,"Phone is mind blowing but there is less some apps in the phone, and one of the best phone in this price range",Pos,"Mind blowing phone, some apps are missing, best in price range."
180,"It's Outstanding performance and very attractive design to use thank you 🙏 moto,and great to use our Indian product",Pos,Outstanding performance and attractive design.
180,"Value for money 💰
Camera Good 
Overall mobile performance good",Pos,"Value for money, good camera, good overall performance."
210,The camera quality is superb... performance i,Pos,The camera quality is superb performance.
210,"The reviews for this phone speak for themselves...

This phone has exceptional value in the 20k- 25k range, delivering well-balanced performance:

1. Excellent camera quality
2. Reliable and smooth pe...",Pos,"Exceptional value, well-balanced performance, excellent camera, reliable and smooth."
210,Excellent picture with decent performance and good battery backup,Pos,"Excellent picture, decent performance, and good battery backup."
210,"Nice Phone recently i switched from iphone 
It's worth purchase",Pos,"Nice phone, worth the purchase after switching from iPhone."
210,Nice quality,Pos,Nice quality.
240,Good product you can go for it,Pos,"Good product, you can go for it."
240,Great features witu great camera and awesome potrait,Pos,Great features with great camera and awesome portrait.
270,One of the best camera and best handset wonderful 👍,Pos,"One of the best camera and best handset, wonderful."
270,Camera Good quality,Pos,Camera good quality.
270,Love it. I order for my mom bday gift,Pos,"Love it, ordered for mom's birthday gift."
270,Verry nice,Pos,Verry nice.
300,Awesome,Pos,Awesome.
300,It's nice.... But it has some ui bugs and it could be better if they pre installed screen protector film and provide back case,Neg,Nice but has UI bugs and needs screen protector/case.
300,"After 2 days using Motorola 60fusion ,All is fantastic in this mobile, camera quality,sound quality,touch of mobile,and design of mobile....overall performance is nice,dnt listen to negative review......",Pos,"Fantastic mobile with great camera, sound, touch, design, and overall performance."
300,Awesome 👍,Pos,Awesome.
300,Its design is amazing,Pos,Amazing design.
300,Best phone in this price segment . Feels like premium phone in such a low price . 😃,Pos,"Best phone in this price segment, feels premium."
300,"Motorola phones are very cheap and feature-rich compared to other brands and their camera, display, design are excellent⭐️⭐️⭐️⭐️⭐️",Pos,"Motorola phones are cheap, feature-rich, and have excellent camera, display, and design."
300,OSM,Pos,Osm.
300,"Good phone in price range or camera quality, also good",Pos,Good phone in price range with good camera quality.
300,"Camera 10/10
Display 10/10
Battery 9.5/10
Overall Performance awesome 😎👍👍👍",Pos,"Excellent ratings for camera, display, and battery, with awesome overall performance."
300,"The Motorola Edge 60 Fusion featuring a vegan leather back that feels premium to the touch, a square camera module, and a glossy Motorola logo at the centre. The edges are slightly curved, as is the d...",Neu,Describes the design of the Motorola Edge 60 Fusion.
330,"For me everything in this is more than worth, just concerned about the back leather finish it can easily get dirty",Neu,"Everything is worth it, but concerned about the back leather finish getting dirty."
330,Great phone at a affordable price.... Processor could have been better....camera is great... display is outstanding....,Pos,"Great phone at an affordable price, good camera and outstanding display, processor could be better."
330,"The main highlight of this phone is the display, Camera,UI and the felling of stock android 
Overall the phone is targetted to a normal person * NOT TARGETED TO GAMERS *
I AM HAPPY WITH THIS PHONE🥰",Pos,"Highlights display, camera, UI, and stock Android feel, targeted to normal users."
330,"Just awesome 
But cover and screen guard not included and not available in online and offline market
Phone is great light weight design is super speaker is clear and loud",Pos,"Awesome phone, lightweight, great design and speaker, but no cover or screen guard included."
330,Awesome phone.,Pos,Awesome phone.
240,"Mobile is not good, hanging and software issues, screen flickering, 
Slow performance",Neg,"Mobile is not good, hanging, software issues, screen flickering, slow performance."
330,Good product still need more updates to stable the mobile. In box no screen guard or back cover provided. Overall mobile quality is premium.,Neu,"Good product, needs updates, no screen guard or back cover, premium quality."
300,"Used Edge 50 Fusion until now, have been always a fan of Moto. This phone is definitely an upgrade of Edge 50 Fusion. Those who are wondering about performance it's quite awesome if you don't play gam...",Pos,"Upgrade from Edge 50 Fusion, awesome performance if you don't play games."
330,"+ Display + Dual Speakers + Battery
- Performance - Camera - Glitches",Neu,"Mentions display, dual speakers, battery performance, and camera glitches."
210,"Mediatek processor super patchy (phone h) like Indian highways 
Slow camera like modiji's vikas...
Call drops like Indian politicians' standards nowadays",Neg,Super patchy phone with slow camera and call drops.
300,"Very good mobile in this range Display is amazing,camera is very good, Battery is fine 1.5 day use.Overall a good balanced package in this price range.
Few issues which I faced were the in display fin...",Pos,"Very good mobile with amazing display, good camera, and fine battery, but has in-display fingerprint issues."
300,"All things good except heating issue while charging and also while using the phone with internet on continuously. If you turn on charge boost, then the phone will heat like anything while charging. In...",Neg,Good except for heating issues while charging and using internet.
300,"Everything is perfect...
But there should be UFS 3.1 storage type..
Because I feel sometimes UFS 2.0
And it's laggy
But other than that everything is chummeshwari",Neu,Everything is perfect but needs UFS 3.1 storage.
300,"Top notch phone but I found some issues with the battery.
The battery was a little faster but overall this phone is an absolute bang!! Highly recommended !!
If you're thinking of a phone which has dec...",Pos,"Top notch phone but battery drains a little faster, overall highly recommended."
330,"I noticed the battery drying fast.
Camera clarity is very good.
Display colours are also good.",Neutral,"Battery drains fast, camera clarity and display colors are good."
330,I just love the colour and design quality of this phone go for it,Positive,"Loves the color and design quality, recommends it."
210,Awesome product of Moto...go for it without any doubt,Positive,"Awesome product, recommends it without doubt."
210,"Nice phone captures good photos , performance is good for daily usage, moderate gaming and looks and design is unbeatable.",Positive,"Nice phone, good photos, performance good for daily use and moderate gaming, great design."
240,All good,Positive,All good.
270,I very very very very very love it.,Positive,Very much loves it.
300,Very good product nice performance of this mobile u can buy this mobile any hesitation,Positive,"Very good product, nice performance, recommends buying without hesitation."
300,"I was using Moto Edge 50 Fusion from last year.
A lot of improvements are clearly visible 
Camera quality, Ai features 
Body ,colour
And also it's more handy now",Positive,"Using Moto Edge 50 Fusion, improvements visible in camera, AI, color, and handiness."
300,Superb camera. Nice battery backup. Worth for the money.!,Positive,"Superb camera, nice battery backup, worth the money."
330,"Overall the phone is good
I genuinely love it",Positive,Overall the phone is good and genuinely loved.
330,"PROS 
CAMERA 
NIGHT LIGHT PHOTO LITTLE SATISFIED BUT DAY LIGHT GOOD
PERFORMANCE 
PLAYED GTA AND ASPHALT NO LAG NO HEAT USE PLAYED PUBG G TOOO.
BATTERY 
DRAIN SO SLOW 30 MIN 70%-80% 
BEST PHONE UNDER T...",Positive,"Good performance, plays games well, battery drains slowly, best phone under budget."
330,SIMPLY AWESOME !!!BEST PHONE AT THIS BUDGET RANGE🎉,Positive,"Simply awesome, best phone at this budget range."
300,"Design is Awesome🌟
Display is great👍 
Performance is Pakka 200%
Overall Loved 😍 
Camera and Battery review will post after a week.",Positive,"Awesome design, great display, good performance, loves camera and battery."
330,"Very good mobile by moto...
Good camera...
Very good display...
Great looks and design...
Battery capacity can be better...",Positive,"Very good mobile, good camera, very good display, great looks, battery could be better."
270,Recommended,Positive,Recommended.
210,"Everything is good 👍🏻 but battery draining is fast,I m not using the any gaming app,I hope this issues was fix in the coming up update, otherwise phone is too good, display is wonderful,camera is go...",Negative,"Everything good but battery drains fast, hopes for a fix in update, otherwise phone is good."
330,"Overall phone is good only the battery is drying very fast , battery is not so good even after 5500 mh battery i hope motorola will fix this problem with an update soon",Negative,"Phone is good overall, but battery drains very fast, hopes for a fix."
330,"For 10 days I've been using this phone after that I'm writing this review 

Display-good
Primary Camera photos- good
Primary camera video - average ( because while you zoom out or zoom in the video ar...",Neutral,"Display good, primary camera photos good, primary camera video average due to zoom issues."
330,"Moto edge 60 Fusion Mobile is Good for This Price But Screen guard and back Case Not Provided in the Box because PANTONE Amazonite Colour is very Fast attract dust fingerprints easily 

Pros 
------
1...",Negative,"Good for price, but screen guard and back case not provided, attracts dust and fingerprints."
330,I am the first person who brought this phone this phone is very good ☺️ for this range also play free fire 🔥,Positive,"First buyer, phone is very good for the range, plays free fire."
330,Thankyou Flipkart,Positive,Thank you Flipkart.
180,"Average product overall.
Performance remains decent so far with its Dimensity 7300 processor
Camera performs quite good as well
Pretty light weight too!
However, lack of basic applications like a gall...",Neutral,"Average product, decent performance, good camera, lightweight, lacks basic apps."
150,Camera quality is very poor... I didn't expected this from Motorola.,Negative,"Camera quality is very poor, didn't expect this from Motorola."
180,If you are buying this for camera then donot buy. I am having moto edge 50 fusion which is good for camera and overall performance. I thought moto edge 60 will be even better. But I found that moto ed...,Negative,"Don't buy for camera, Moto Edge 50 Fusion is better for camera and performance."
330,"Camera quality - 10/10🔥
Performance - 10/10🤩
Sound quality - 10/10😳😍
Battery - 10/8❤️
Smooth use❤️❤️❤️
I am very happy, Thank you Filpkart😍❤️",Pos,"Excellent camera, performance, sound, battery, and smooth use."
270,Do not buy this from Flipkart. They deliver me defective device today. My mobile device auto shut down and camera not working. And flipkart is not accepting return of Product after 2 hrs of delivery. ...,Neg,"Defective device delivered, auto shut down, camera not working, return not accepted."
180,"I am using the last one month
Battery backup is good 
Excellent display quality 
Camera is above average only
No heating issue",Pos,"Good battery backup, excellent display, above average camera, no heating issues."
210,I have been using it for a month and have not faced any problem till now. Overall this phone is good.,Pos,"Good phone, no issues after a month of use."
330,"Every thing is good in this price range. 
Display 10/10
Camera 9/10
Performance 8/10
Overall good phone but company need to provide screen protector and mobile cover.",Pos,"Good phone in this price range, needs screen protector and cover."
330,Overall good phone👍 but as compare to my infinix note 12 pro 5g network speed and performance is not good.,Neg,"Good phone overall, but network speed and performance not as good as Infinix Note 12 Pro 5G."
330,Every thing is awesome...,Pos,Everything is awesome.
7,"Quality is good I would say camera is ok-ok not that great as told by many youtubers, performance is where it lacks the most also I was aware as they Moto phones usually don't perform good as they hav...",Neg,"Quality is good, camera is ok, performance lacks."
30,Camera is good only in this mobile...if you share that pic to any device that pic not in good quality,Neg,"Camera good, but picture quality degrades when shared."
30,Nicee,Pos,Nicee.
60,Average phone,Neg,Average phone.
60,"Good one product,butWhen I delete any file, the delete option appears as a notification for a long time, and that's what's annoying.",Neg,"Good product, but delete notification is annoying."
60,Overall it's a very good product under 25k and budget friendly with plenty of specifications but something that gives negative marking is the battery drainage and I should recommend to motorola team a...,Neg,"Good product under 25k, but battery drainage is a negative."
60,Nice mobile.,Pos,Nice mobile.
90,Good,Pos,Good.
90,"Best Under 20k .....
Camera best..
Battery 🔋 Optimisation good....
Nice all round phone...... 👍",Pos,"Best under 20k, good camera, battery optimization, nice all-round phone."
90,"This product is good for its price, but I think it could have been a little better. I've been using it for a month now, but everything else is fine, but it does hang occasionally. Other than that, I h...",Neg,"Good for the price, but hangs occasionally."
120,It's just a 2 days old phone and I can clearly see lag in performance while performing any task. Other than the lagging issue the phone is ok.,Neg,Lag in performance after only 2 days of use.
150,Decent phone in the price range,Pos,Decent phone in the price range.
150,"Good but battery not good
Camera  exited",Neg,"Good but battery not good, camera exited."
