days,content,cleaned_review,llm_output
330,"This phone is quite good at this price...also camera and display, design is too good!",this phone is quite good at this price also camera and display design is too good,"ID: 36 | Sentiment: Pos | Summary: Good phone at this price, camera and display design are good."
330,One of the best camera phone in that price range,one of the best camera phone in that price range,ID: 37 | Sentiment: Pos | Summary: One of the best camera phones in that price range.
300,"After using more than a month i am writing this review.

A stylish phone no doubt but lags in many things.

1. As it is a curve display when you are in full screen mode and watching a video and you wa...",after using more than a month i am writing this review a stylish phone no doubt but lags in many things 1 as it is a curve display when you are in full screen mode and watching a video and you wa,"ID: 38 | Sentiment: Neg | Summary: Stylish phone but lags, curve display issues."
330,Design and display is good lightweight and sleek design. Looking very beautiful design.,design and display is good lightweight and sleek design looking very beautiful design,"ID: 39 | Sentiment: Pos | Summary: Good design and display, lightweight and sleek."
330,"It's Good option for buying under budget and modern Design....
But with out free back case in tha box.
Only adaptor, charging cable and sim pin only available this Device......
Most important never bu...",it s good option for buying under budget and modern design but with out free back case in tha box only adaptor charging cable and sim pin only available this device most important never bu,"ID: 40 | Sentiment: Neg | Summary: Good option under budget, but no free back case."
180,Best camera quality 🥰😊,best camera quality,ID: 41 | Sentiment: Pos | Summary: Best camera quality.
330,"This is a very good mobile, its performance is very good, the camera adds very nice colors and gives very good results.",this is a very good mobile its performance is very good the camera adds very nice colors and gives very good results,ID: 42 | Sentiment: Pos | Summary: Very good mobile with good performance and camera.
270,Best product value for money🤗❤️,best product value for money,ID: 43 | Sentiment: Pos | Summary: Best product value for money.
330,I think there is backlash in front camera quality then fusion 50. Fusion 50 front camera photo quality is far better than 60 fusion. Maybe motorolla will fix this problem with an update.,i think there is backlash in front camera quality then fusion 50 fusion 50 front camera photo quality is far better than 60 fusion maybe motorolla will fix this with an update,ID: 44 | Sentiment: Neg | Summary: Front camera quality worse than Fusion 50.
330,"Excellent design and build

Clean Android experience

Fast charging

Good cameras for the price",excellent design and build clean android experience fast charging good cameras for the price,"ID: 45 | Sentiment: Pos | Summary: Excellent design, clean Android, fast charging, good cameras for the price."
300,I really impressed with this camera 🤳 i love it moto brand i suggest to people buy it 😀 I also camera vivo v30 pro camera but it beat that camera 📸,i really impressed with this camera i love it moto brand i suggest to people buy it i also camera vivo v30 pro camera but it beat that camera,"ID: 46 | Sentiment: Pos | Summary: Impressed with the camera, beats Vivo V30 Pro."
330,Not bad...,not bad,ID: 47 | Sentiment: Neu | Summary: Not bad.
300,Overall good product. Top notch in this price 😍,overall good product top notch in this price,"ID: 48 | Sentiment: Pos | Summary: Overall good product, top notch in this price."
150,I have purchased this smartphone in big billion days sale 24 sept and after 13 days I have faced charging issues. Smartphone is not charging.,i have purchased this smartphone in big billion days sale 24 sept and after 13 days i have faced charging issues smartphone is not charging,ID: 49 | Sentiment: Neg | Summary: Charging issues after 13 days.
330,Overall good camera..,overall good camera,ID: 50 | Sentiment: Pos | Summary: Overall good camera.
330,"Phenomenal purchase ,
Camera quality is best
Battery is humungous
Water resistant ip68, ip69
Fast charger

The main part is the display that is quad curve Oled display 
Must purchase it",phenomenal purchase camera quality is best battery is humungous water resistant ip68 ip69 fast charger the main part is the display that is quad curve oled display must purchase it,"ID: 51 | Sentiment: Pos | Summary: Phenomenal purchase, great camera, battery, display, and water resistance."
330,Ultimate all in one phone. Since I am a user of edge 50 fusion I am satisfied but missing two features i.e no app lock and Internet speed not showing on top. But now they provide the same on 60 fusion...,ultimate all in one phone since i am a user of edge 50 fusion i am satisfied but missing two features i e no app lock and internet speed not showing on top but now they provide the same on 60 fusion,"ID: 52 | Sentiment: Pos | Summary: Satisfied user, missing app lock and internet speed display, but now available on 60 Fusion."
300,"Having some software problem 
On a few occasions it switches off automatically. Sometimes video never fits full screen 
Sometimes the back button never work on the home screen we need to change the sl...",having some software on a few occasions it switches off automatically sometimes video never fits full screen sometimes the back button never work on the home screen we need to change the sl,"ID: 53 | Sentiment: Neg | Summary: Software issues, switches off, video and back button problems."
300,"Writing after one and half month of usage.....Phone is good lookwise, premium look and feel..but who wants only looks, phone is not for that...with every small task, even during call, this gets heated...",writing after one and half month of usage phone is good lookwise premium look and feel but who wants only looks phone is not for that with every small task even during call this gets heated,ID: 54 | Sentiment: Neg | Summary: Good lookwise but heats up during small tasks.
210,"Its too good phone at this price range...
Camera: outstanding  back camera is 10 on 10 but front camera is 5 on 10.
But screen is not working properly, may be it will be fixed after updates..",its too good phone at this price range camera outstanding back camera is 10 on 10 but front camera is 5 on 10 but screen is not working properly may be it will be fixed after updates,"ID: 55 | Sentiment: Neg | Summary: Good camera for the price, but front camera is weak and screen has issues."
270,"My new Moto Edge 60 Fusion, replacing my Samsung Galaxy M52, has truly justified its cost. I'm particularly impressed with its excellent camera, long-lasting battery, and remarkably lightweight build.",my new moto edge 60 fusion replacing my samsung galaxy m52 has truly justified its cost i m particularly impressed with its excellent camera long lasting battery and remarkably lightweight build,"ID: 56 | Sentiment: Pos | Summary: Replacing Samsung, impressed with camera, battery, and lightweight build."
330,Here is the conclusion: camera is best in the segment. Display undoubtedly a flagship level upgrade . Battery and charging top notch . The performance is quit good it can easily run your day day task ...,here is the conclusion camera is best in the segment display undoubtedly a flagship level upgrade battery and charging top notch the performance is quit good it can easily run your day day task,"ID: 57 | Sentiment: Pos | Summary: Best camera in segment, flagship display, top-notch battery and good performance."
330,"Excellent phone in the price range.
Display and OS is impressive in this price range.
Compare to realme p3 pro this OS and camera is far better. 
For daily use no lag, I am not a gamer. Very smooth ex...",excellent phone in the price range display and os is impressive in this price range compare to realme p3 pro this os and camera is far better for daily use no lag i am not a gamer very smooth ex,"ID: 58 | Sentiment: Pos | Summary: Excellent phone, impressive display and OS, better camera than Realme P3 Pro, smooth."
240,I like this phone,i like this phone,ID: 59 | Sentiment: Pos | Summary: I like this phone.
330,Nice phone nice picture,nice phone nice picture,"ID: 60 | Sentiment: Pos | Summary: Nice phone, nice picture."
210,"Motorola edge 60 Fusion 5G was a awesome smartphone 
🥰 This phone 📱 camera was really good 👍😊 
Phone 📱 performance is amazing bettary so nice 👍 
Thank you Motorola edge 60 Fusion 
I like this phone 🤳",motorola edge 60 fusion 5g was a awesome smartphone this phone camera was really good phone performance is amazing bettary so nice thank you motorola edge 60 fusion i like this phone,"ID: 61 | Sentiment: Pos | Summary: Awesome smartphone with good camera, amazing performance, and nice battery."
210,"Battery back up is excellent upto 2.5 days.
Camera display and performance are also excellent.",battery back up is excellent upto 2 5 days camera display and performance are also excellent,"ID: 62 | Sentiment: Pos | Summary: Excellent battery backup, camera, display, and performance."
180,Best mobile,best mobile,ID: 63 | Sentiment: Pos | Summary: Best mobile.
240,Best camera phone,best camera phone,ID: 64 | Sentiment: Pos | Summary: Best camera phone.
300,Satisfied,satisfied,ID: 65 | Sentiment: Pos | Summary: Satisfied.
330,Nice phone,nice phone,ID: 66 | Sentiment: Pos | Summary: Nice phone.
330,"The product is good. Received it today.
Will update my review again after using it for a few days.",the product is good received it today will update my review again after using it for a few days,"ID: 67 | Sentiment: Neu | Summary: Product is good, will update review after using it."
270,This is the best camera phone...,this is the best camera phone,ID: 68 | Sentiment: Pos | Summary: This is the best camera phone.
300,Very Nice phone 📱,very nice phone,ID: 69 | Sentiment: Pos | Summary: Very nice phone.
330,"this phone has everything that is needed a good camera,good battery backup , very good performance just only the thing that is bad is that they are not providing a back cover and a screen guard as it ...",this phone has everything that is needed a good camera good battery backup very good performance just only the thing that is bad is that they are not providing a back cover and a screen guard as it,"ID: 70 | Sentiment: Neg | Summary: Good phone overall, but lacks back cover and screen guard."
330,"You can go for it.
It is value for money  phone and camera is very good.",you can go for it it is value for money phone and camera is very good,ID: 71 | Sentiment: Pos | Summary: Value for money phone with a very good camera.
330,Very nice phone camera battery is also very good and performance is very good very slim and light in weight.,very nice phone camera battery is also very good and performance is very good very slim and light in weight,"ID: 72 | Sentiment: Pos | Summary: Very nice phone with good camera, battery, performance, slim and light."
270,"Camera 📸 quality is very exillent 
Better backup good
Super display 4k
Sound is very super",camera quality is very exillent better backup good super display 4k sound is very super,"ID: 73 | Sentiment: Pos | Summary: Excellent camera quality, good battery, super display, 4k sound."
330,"Very good camera performance, good battery life and best for normal daily tasks.",very good camera performance good battery life and best for normal daily tasks,"ID: 74 | Sentiment: Pos | Summary: Very good camera performance, good battery life, best for daily tasks."
330,Hanging issue,hanging issue,ID: 75 | Sentiment: Neg | Summary: Hanging issue.
270,"Excellent choice if you are a non gamer!
Look : top notch
Display : excellent display protected by Corning gorilla glass.outdoor brightness also very good.some people don't like curved displays though...",excellent choice if you are a non gamer look top notch display excellent display protected by corning gorilla glass outdoor brightness also very good some people don t like curved displays though,"ID: 76 | Sentiment: Pos | Summary: Excellent choice for non-gamers, top-notch display, good outdoor brightness."
330,beautiful and slim design... display superb... pure android 🤖... smooth optamization...,beautiful and slim design display superb pure android smooth optamization,"ID: 77 | Sentiment: Pos | Summary: Beautiful and slim design, superb display, pure Android, smooth optimization."
330,"Great phone at a superb price. Feels very good in hand.
Mind blowing screen.
Battery survives for more than 24 hrs even if u use it continously.
Great audio (call) quality. Good headphone quality as w...",great phone at a superb price feels very good in hand mind blowing screen battery survives for more than 24 hrs even if u use it continously great audio call quality good headphone quality as w,"ID: 78 | Sentiment: Pos | Summary: Great phone at a superb price, feels good, mind-blowing screen, long battery life."
300,When i charge my phone it is heated very much. Otherwise all is ok in this phone.,when i charge my phone it is heated very much otherwise all is ok in this phone,"ID: 79 | Sentiment: Neg | Summary: Phone heats up when charging, otherwise all is ok."
330,Very good Product in this Price,very good product in this price,ID: 80 | Sentiment: Pos | Summary: Very good product in this price.
330,Superb one🥰 love this phone,superb one love this phone,"ID: 81 | Sentiment: Pos | Summary: Superb one, love this phone."
150,Best in this price range,best in this price range,ID: 82 | Sentiment: Pos | Summary: Best in this price range.
330,"Such a well balanced, less weight,  easy to carry , and gorgeous display along with dolby , along with curvy beauty phone..  it touches every aspect in phone scenario,, what else we could expect more ...",such a well balanced less weight easy to carry and gorgeous display along with dolby along with curvy beauty phone it touches every aspect in phone scenario what else we could expect more,"ID: 83 | Sentiment: Pos | Summary: Well-balanced, lightweight, gorgeous display, Dolby, curvy design, meets expectations."
330,Amazing phone at this range. Display is too good 👍 and mobile is so thin as compare to others. It feels amazing 😍 . Overall I m satisfied with this.,amazing phone at this range display is too good and mobile is so thin as compare to others it feels amazing overall i m satisfied with this,"ID: 84 | Sentiment: Pos | Summary: Amazing, thin phone with a great display, satisfied overall."
240,Just like wow 😲😲😲😲,just like wow,ID: 85 | Sentiment: Pos | Summary: Just like wow.
330,Best phone for daily life task.👍,best phone for daily life task,ID: 86 | Sentiment: Pos | Summary: Best phone for daily tasks.
300,"Motorola edge 60 fusion is one of the best phone under 25k No doubt. Here is
Pros :- 
Great Camera Quality 
Vibrant and Immersive Display 
 Speaker is loud and clear
Design is outstanding with vegan l...",motorola edge 60 fusion is one of the best phone under 25k no doubt here is great camera quality vibrant and immersive display speaker is loud and clear design is outstanding with vegan l,"ID: 87 | Sentiment: Pos | Summary: Best phone under 25k, great camera, vibrant display, loud speaker, outstanding design."
330,Brilliant,brilliant,ID: 88 | Sentiment: Pos | Summary: Brilliant.
180,Great product,great product,ID: 89 | Sentiment: Pos | Summary: Great product.
330,"Pros :

1.Excellent curvy display 
2.Premium looks and pretty vegan leather design 
3.Awesome camera with top quality in daylight 
4.Smooth experience with good refresh rate 
5.Best Water resistance u...",1 excellent curvy display 2 premium looks and pretty vegan leather design 3 awesome camera with top quality in daylight 4 smooth experience with good refresh rate 5 best water resistance u,"ID: 90 | Sentiment: Pos | Summary: Excellent display, premium looks, awesome camera, smooth experience, best water resistance."
180,The camera needs to be improved,the camera needs to be improved,ID: 91 | Sentiment: Neg | Summary: Camera needs improvement.
180,"Camera great(in price range), Battery is enough and charging speed is also great, Display and colours are 10 out of 5,  but........panel gap in back side is visible, and ....
performance:- jitternes e...",camera great in price range battery is enough and charging speed is also great display and colours are 10 out of 5 but panel gap in back side is visible and performance jitternes e,"ID: 92 | Sentiment: Neg | Summary: Great camera/battery for price, amazing display, but panel gap and performance jitters."
330,"Satisfied expectations, camera is better, battery average overall performance is good",satisfied expectations camera is better battery average overall performance is good,"ID: 93 | Sentiment: Pos | Summary: Satisfied, better camera, average battery, good performance."
330,Good performance,good performance,ID: 94 | Sentiment: Pos | Summary: Good performance.
330,"It's a really good smartphone under 20K. 
Pros- 
Best camera experience 
Best display experience 
Best Battery back up
Very thin and light weight 
Fast charging outstanding 
Moto AI helps in very aspe...",it s a really good smartphone under 20k best camera experience best display experience best battery back up very thin and light weight fast charging outstanding moto ai helps in very aspe,"ID: 95 | Sentiment: Pos | Summary: Really good smartphone under 20k, best camera/display/battery, thin, light, fast charging, outstanding AI."
210,"The phone is good for this amount, camera quality is awesome 💯 display also is the best overall good but only one issue phone little hitting",the phone is good for this amount camera quality is awesome display also is the best overall good but only one issue phone little hitting,"ID: 96 | Sentiment: Pos | Summary: Good phone for the price, awesome camera, best display, but slight heating issue."
210,"I am using this for the past 1 month. There is a slight late in the processor as it is mediatek but in overall I am happy with the product. Camera,Design,Photos and the sound with the dolby atmos in i...",i am using this for the past 1 month there is a slight late in the processor as it is mediatek but in overall i am happy with the product camera design photos and the sound with the dolby atmos in i,"ID: 97 | Sentiment: Pos | Summary: Slight processor lag, but happy with camera, design, photos, and Dolby Atmos sound."
210,Very nice,very nice,ID: 98 | Sentiment: Pos | Summary: Very nice.
270,Very good 👍 👍👍👍,very good,ID: 99 | Sentiment: Pos | Summary: Very good.
270,The camera is just awesome... Display great ... Battery performance up to the mark,the camera is just awesome display great battery performance up to the mark,"ID: 100 | Sentiment: Pos | Summary: Awesome camera, great display, good battery performance."
300,"Photo is hm supar 
Display quality super 
Battery  is not performance 
Process is good process",photo is hm supar display quality super battery is not performance process is good process,"ID: 101 | Sentiment: Pos | Summary: Good photo, super display, battery not great, good process."
300,nice photo motorola,nice photo motorola,ID: 102 | Sentiment: Pos | Summary: Nice photo Motorola.
300,Very nice performance camera and display photos click 😀,very nice performance camera and display photos click,"ID: 103 | Sentiment: Pos | Summary: Very nice performance, camera, and display photos."
330,Good camera and proforma,good camera and proforma,ID: 104 | Sentiment: Pos | Summary: Good camera and performance.
330,Very good,very good,ID: 105 | Sentiment: Pos | Summary: Very good.
330,"Over all nice 
🥰",over all nice,ID: 106 | Sentiment: Pos | Summary: Over all nice.
300,Good phone with decent performance. Undoubtedly the best looking phone in this price range. Overall satisfied.,good phone with decent performance undoubtedly the best looking phone in this price range overall satisfied,"ID: 107 | Sentiment: Pos | Summary: Good phone, decent performance, best looking, satisfied."
330,Must buy phone at this range,must buy phone at this range,ID: 108 | Sentiment: Pos | Summary: Must buy phone at this range.
300,"The phone really feels premium in terms of build quality. 
Phone is super slim despite having such a good battery size.
Dolby Atmos also works well.
Experienced little heating issue while charging.
Di...",the phone really feels premium in terms of build quality phone is super slim despite having such a good battery size dolby atmos also works well experienced little heating issue while charging di,"ID: 109 | Sentiment: Pos | Summary: Premium build, super slim, good battery, Dolby Atmos, slight heating while charging."
330,Best mid range phone with premium looks,best mid range phone with premium looks,ID: 110 | Sentiment: Pos | Summary: Best mid-range phone with premium looks.
270,"Camara is stunning 
Bettry is also very good It lasts for a day,
Performance is a issue not expected at this price 
Display is looking",camara is stunning bettry is also very good it lasts for a day performance is a issue not expected at this price display is looking,"ID: 111 | Sentiment: Neg | Summary: Stunning camera, good battery, performance is an issue, display is looking good."
330,"Superb i love it 
Battery 
Performance 
camera 
Display 
Design overall 5star love it
❤️❤️❤️❤️",superb i love it battery performance camera display design overall 5star love it,"ID: 112 | Sentiment: Pos | Summary: Superb, love it, great battery, camera, display, design, 5 stars."
300,"This smartphone gives a flagship level feelings, camera is awesome in this price .If you're not heavy gamer then go for it without hesitation.",this smartphone gives a flagship level feelings camera is awesome in this price if you re not heavy gamer then go for it without hesitation,"ID: 113 | Sentiment: Pos | Summary: Great camera for the price, good for non-heavy gamers."
210,"No doubt moto phones are value for money. But the same design for the last 4 years is quite disappointing. 

Biggest drawback , all moto phones look the same, no matter if it's fusion or ultra .

Noth...",no doubt moto phones are value for money but the same design for the last 4 years is quite disappointing biggest all moto phones look the same no matter if it s fusion or ultra noth,ID: 114 | Sentiment: Neg | Summary: Moto phones have the same design for the last 4 years.
300,"The product is really good and nice 
Good camera quality and the process of the picture is very nice 
The performance is also nice no lag 
Display is very nice",the product is really good and nice good camera quality and the process of the picture is very nice the performance is also nice no lag display is very nice,"ID: 115 | Sentiment: Pos | Summary: Really good product with nice camera quality, performance, and display."
300,Super mobile... Camera was assumed and with Sony and the dimensity 7400 was rocked !!!!,super mobile camera was assumed and with sony and the dimensity 7400 was rocked,ID: 116 | Sentiment: Pos | Summary: Super mobile camera with Sony and Dimensity 7400.
300,Camra quality is very good 👍,camra quality is very good,ID: 117 | Sentiment: Pos | Summary: Camera quality is very good.
330,"I think the best phone you can get below 23000 the camera is the best thing about this phone, also look is the premium quality one.",i think the best phone you can get below 23000 the camera is the best thing about this phone also look is the premium quality one,"ID: 118 | Sentiment: Pos | Summary: Best phone below 23000, great camera and premium look."
330,1st Impression Awesome Phon,1st impression awesome phon,ID: 119 | Sentiment: Pos | Summary: Awesome phone.
330,Best in business,best in business,ID: 120 | Sentiment: Pos | Summary: Best in business.
180,Very good 👍👍,very good,ID: 121 | Sentiment: Pos | Summary: Very good.
330,It's a lightweight Phone with matte finishing look.Good Camera Clarity.Definitely Go for it for a Beautiful and comfort experience.,it s a lightweight phone with matte finishing look good camera clarity definitely go for it for a beautiful and comfort experience,"ID: 122 | Sentiment: Pos | Summary: Lightweight phone with matte finish, good camera clarity."
330,Writing this review after 1 month...It's the best android phone in this price segment... Everything is top notch...The camera is great for this price... Best phone for everyday activities with the bes...,writing this review after 1 month it s the best android phone in this price segment everything is top notch the camera is great for this price best phone for everyday activities with the bes,"ID: 123 | Sentiment: Pos | Summary: Best Android phone in this price segment, great camera, good for everyday activities."
180,"The camera quality is too good to be true!!!
The performance is really good! This is the only phone that I can call a complete all rounder!!! No thoughts just go for it if you want to purchase it!! Th...",the camera quality is too good to be true the performance is really good this is the only phone that i can call a complete all rounder no thoughts just go for it if you want to purchase it th,"ID: 124 | Sentiment: Pos | Summary: Camera quality and performance are good, a complete all-rounder."
210,Night vision clicks are absolutely great compared to day time.,night vision clicks are absolutely great compared to day time,ID: 125 | Sentiment: Pos | Summary: Night vision clicks are great compared to daytime.
270,Camera was so good,camera was so good,ID: 126 | Sentiment: Pos | Summary: Camera was so good.
270,"This is the best mobile in this price range. It offers a balanced experience for moderate users and is a complete package with a good camera, strong battery life, impressive display, and stylish design.",this is the best mobile in this price range it offers a balanced experience for moderate users and is a complete package with a good camera strong battery life impressive display and stylish design,"ID: 127 | Sentiment: Pos | Summary: Best mobile in this price range, balanced experience, good camera, battery, display, and design."
330,Awesome yrrr... camera just outstanding 🔥....Go for it..,awesome yrrr camera just outstanding go for it,"ID: 128 | Sentiment: Pos | Summary: Awesome camera, just outstanding."
330,Motorola is best phone 👌,motorola is best phone,ID: 129 | Sentiment: Pos | Summary: Motorola is best phone.
330,Camera was very beautiful but very thin mobail am very scary about to using this phone,camera was very beautiful but very thin mobail am very scary about to using this phone,ID: 130 | Sentiment: Neg | Summary: Beautiful camera but phone is very thin and scary to use.
60,"I have used this for 6 months now and I am happy with my decision to buy this.

However, there a few drawbacks, main one being the curved display, since it is curved it is more fragile, and it is plas...",i have used this for 6 months now and i am happy with my decision to buy this however there a few drawbacks main one being the curved display since it is curved it is more fragile and it is plas,"ID: 131 | Sentiment: Neg | Summary: Happy with purchase after 6 months, but curved display is fragile."
150,One of the excellent device but I also miss the NFC and eSIM features on this device.,one of the excellent device but i also miss the nfc and esim features on this device,ID: 132 | Sentiment: Neg | Summary: Excellent device but missing NFC and eSIM features.
180,"Good one but menu is not seems to user friendly. Missing it's own file manager. Smooth curve glass, battery is good, 8 hours continuous play. Camera output is strange and little non realistic. It give...",good one but menu is not seems to user friendly missing it s own file manager smooth curve glass battery is good 8 hours continuous play camera output is strange and little non realistic it give,"ID: 133 | Sentiment: Neg | Summary: Good but menu not user friendly, missing file manager, strange camera output."
180,Overall good,overall good,ID: 134 | Sentiment: Pos | Summary: Overall good.
180,Best 📲 mobile,best mobile,ID: 135 | Sentiment: Pos | Summary: Best mobile.
180,Value for money,value for money,ID: 136 | Sentiment: Pos | Summary: Value for money.
210,"Mobile is very good but some apps like Gallery, File Manager, and others more apps are not available in this phone .....this is the only flaw.....i request the company plz bring these things like othe...",mobile is very good but some apps like gallery file manager and others more apps are not available in this phone this is the only flaw i request the company plz bring these things like othe,ID: 137 | Sentiment: Neg | Summary: Mobile is good but missing some apps like gallery and file manager.
210,Overall very good at this price range with exchange offer,overall very good at this price range with exchange offer,ID: 138 | Sentiment: Pos | Summary: Overall very good at this price range with exchange offer.
240,Low Battery back-up and overheating both issue in purchage of first day,low battery back up and overheating both issue in purchage of first day,ID: 139 | Sentiment: Neg | Summary: Low battery backup and overheating issues on the first day.
